ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
525446	525446	525446	40.8583	-118.4333	4304.07	-999	1.2	60	A	1	50	
526832	526832	526832	40.9	-118.4333	4579.4	-999	1.2	60	A	1	50	
528223	528223	528223	40.9417	-118.225	4176.12	-999	1.08	60	A	1	50	
528224	528224	528224	40.9417	-118.1833	4194.49	-999	1.08	60	A	1	50	
528225	528225	528225	40.9417	-118.1417	4238.06	-999	1.08	60	A	1	50	
529609	529609	529609	40.9833	-118.225	4164.3	-999	1.08	60	A	1	50	
529610	529610	529610	40.9833	-118.1833	4178.61	-999	1.08	60	A	1	50	
533641	533641	533641	41.1083	-123.475	5394.26	-999	1.32	60	B	2	50	
533762	533762	533762	41.1083	-118.4333	4268.64	-999	1.92	60	B	2	50	
535148	535148	535148	41.15	-118.4333	4241.21	-999	1.9703	60	B	2	50	
535149	535149	535149	41.15	-118.3917	4179.4	-999	1.938	60	B	2	50	
535161	535161	535161	41.15	-117.8917	4262.73	-999	1.6434	60	A	1	50	
535162	535162	535162	41.15	-117.85	4206.69	-999	1.3765	60	A	1	50	
536408	536408	536408	41.1917	-123.6833	1285.11	-999	1.44	60	B	2	50	
536536	536536	536536	41.1917	-118.35	4173.88	-999	1.899	60	B	2	50	
536546	536546	536546	41.1917	-117.9333	4817.85	-999	1.68	60	A	1	50	
536547	536547	536547	41.1917	-117.8917	4250.53	-999	1.5186	60	A	1	50	
536548	536548	536548	41.1917	-117.85	4239.5	-999	1.44	60	A	1	50	
537923	537923	537923	41.2333	-118.3083	4209.84	-999	1.92	60	B	2	50	
537933	537933	537933	41.2333	-117.8917	4248.82	-999	1.44	60	A	1	50	
537934	537934	537934	41.2333	-117.85	4232.15	-999	1.44	60	A	1	50	
537972	537972	537972	41.2333	-116.2667	6332.42	-999	1.485	60	B	2	50	
537973	537973	537973	41.2333	-116.225	5937.27	-999	1.8608	60	B	2	50	
537974	537974	537974	41.2333	-116.1833	5972.97	-999	1.9069	60	B	2	50	
537978	537978	537978	41.2333	-116.0167	6489.9	-999	1.4396	60	B	2	50	
539182	539182	539182	41.275	-123.6	1480.97	-999	1.4108	60	B	2	50	
539183	539183	539183	41.275	-123.5583	965.44	-999	0.9506	60	A	1	50	
539184	539184	539184	41.275	-123.5167	2108.38	-999	1.44	60	B	2	50	
539359	539359	539359	41.275	-116.225	5923.23	-999	1.9618	60	B	2	50	
539360	539360	539360	41.275	-116.1833	5803.41	-999	1.9916	60	B	2	50	
539361	539361	539361	41.275	-116.1417	5845.01	-999	1.9838	60	B	2	50	
539362	539362	539362	41.275	-116.1	6195.8	-999	1.4772	60	B	2	50	
540569	540569	540569	41.3167	-123.5583	1279.86	-999	0.8719	60	A	1	50	
540570	540570	540570	41.3167	-123.5167	1235.13	-999	1.4287	60	B	2	50	
540696	540696	540696	41.3167	-118.2667	4238.32	-999	1.92	60	B	2	50	
540697	540697	540697	41.3167	-118.225	4135.83	-999	1.9428	60	B	2	50	
540746	540746	540746	41.3167	-116.1833	5893.18	-999	1.8806	60	B	2	50	
540747	540747	540747	41.3167	-116.1417	5731.76	-999	2.0044	60	B	2	50	
540748	540748	540748	41.3167	-116.1	5855.64	-999	1.6799	60	B	2	50	
