This file contains first (temporary) numbers of cutting cycles for dairy and beef hay, based on latitude. R.Allen 4/1/08
ET Cell ID	ET Cell Name	Lat	Number Dairy	Number Beef	null	null.1
525446	525446	40.8583	5	3		
526832	526832	40.9	5	4		
528223	528223	40.9417	5	2		
528224	528224	40.9417	5	2		
528225	528225	40.9417	5	2		
529609	529609	40.9833	5	2		
529610	529610	40.9833	5	2		
529611	529611	40.9833	5	4		
533641	533641	41.1083	5	4		
533762	533762	41.1083	5	2		
535148	535148	41.15	5	2		
535149	535149	41.15	5	2		
535160	535160	41.15	5	4		
535161	535161	41.15	5	2		
535162	535162	41.15	5	2		
536408	536408	41.1917	5	4		
536536	536536	41.1917	5	2		
536546	536546	41.1917	5	2		
536547	536547	41.1917	5	2		
536548	536548	41.1917	5	2		
537923	537923	41.2333	5	2		
537933	537933	41.2333	5	2		
537934	537934	41.2333	5	2		
537972	537972	41.2333	5	4		
537973	537973	41.2333	5	4		
537974	537974	41.2333	5	4		
537977	537977	41.2333	5	4		
537978	537978	41.2333	5	4		
539182	539182	41.275	5	4		
539183	539183	41.275	5	4		
539184	539184	41.275	5	4		
539358	539358	41.275	5	4		
539359	539359	41.275	5	4		
539360	539360	41.275	5	4		
539361	539361	41.275	5	4		
539362	539362	41.275	5	4		
540569	540569	41.3167	5	4		
540570	540570	41.3167	5	4		
540696	540696	41.3167	5	2		
540697	540697	41.3167	5	2		
540746	540746	41.3167	5	4		
540747	540747	41.3167	5	1		
540748	540748	41.3167	5	1		
540749	540749	41.3167	5	1		
541956	541956	41.3583	5	4		
541957	541957	41.3583	5	4		
542082	542082	41.3583	5	2		
542083	542083	41.3583	5	2		
542132	542132	41.3583	5	4		
542133	542133	41.3583	5	1		
542134	542134	41.3583	5	4		
542135	542135	41.3583	5	1		
543342	543342	41.4	5	4		
543473	543473	41.4	5	4		
543478	543478	41.4	5	2		
543479	543479	41.4	5	2		
543481	543481	41.4	5	1		
543518	543518	41.4	5	4		
543519	543519	41.4	5	4		
543520	543520	41.4	5	4		
543521	543521	41.4	5	4		
544859	544859	41.4417	5	2		
544864	544864	41.4417	5	2		
544865	544865	41.4417	5	2		
544904	544904	41.4417	5	4		
544905	544905	41.4417	5	4		
544906	544906	41.4417	5	4		
546250	546250	41.4833	5	2		
546251	546251	41.4833	5	2		
546281	546281	41.4833	5	4		
546288	546288	41.4833	5	4		
546292	546292	41.4833	5	1		
547487	547487	41.525	5	4		
547488	547488	41.525	5	4		
547489	547489	41.525	5	4		
547535	547535	41.525	5	4		
547634	547634	41.525	5	4		
547636	547636	41.525	5	2		
547637	547637	41.525	5	2		
547671	547671	41.525	5	4		
547678	547678	41.525	5	4		
547679	547679	41.525	5	4		
548873	548873	41.5667	5	4		
548890	548890	41.5667	5	4		
548921	548921	41.5667	5	4		
548923	548923	41.5667	5	4		
548998	548998	41.5667	5	2		
548999	548999	41.5667	5	4		
549020	549020	41.5667	5	4		
549022	549022	41.5667	5	2		
549023	549023	41.5667	5	2		
549024	549024	41.5667	5	2		
549057	549057	41.5667	5	4		
549064	549064	41.5667	5	4		
550273	550273	41.6083	5	4		
550307	550307	41.6083	5	4		
550309	550309	41.6083	5	4		
550377	550377	41.6083	5	4		
550384	550384	41.6083	5	2		
550385	550385	41.6083	5	2		
550407	550407	41.6083	5	2		
550408	550408	41.6083	5	2		
550409	550409	41.6083	5	2		
550410	550410	41.6083	5	2		
550443	550443	41.6083	5	4		
550444	550444	41.6083	5	4		
550445	550445	41.6083	5	4		
550449	550449	41.6083	5	4		
550450	550450	41.6083	5	4		
551693	551693	41.65	5	4		
551694	551694	41.65	5	4		
551695	551695	41.65	5	4		
551698	551698	41.65	5	4		
551699	551699	41.65	5	2		
551712	551712	41.65	5	4		
551763	551763	41.65	5	4		
551764	551764	41.65	5	4		
551769	551769	41.65	5	4		
551787	551787	41.65	5	2		
551793	551793	41.65	5	4		
551794	551794	41.65	5	2		
551795	551795	41.65	5	2		
551796	551796	41.65	5	4		
551797	551797	41.65	5	4		
551829	551829	41.65	5	4		
551830	551830	41.65	5	4		
551831	551831	41.65	5	4		
551833	551833	41.65	5	2		
551834	551834	41.65	5	1		
551835	551835	41.65	5	4		
551836	551836	41.65	5	4		
553035	553035	41.6917	5	4		
553046	553046	41.6917	5	4		
553048	553048	41.6917	5	4		
553081	553081	41.6917	5	4		
553082	553082	41.6917	5	2		
553084	553084	41.6917	5	4		
553085	553085	41.6917	5	2		
553097	553097	41.6917	5	4		
553098	553098	41.6917	5	4		
553119	553119	41.6917	5	2		
553120	553120	41.6917	5	2		
553154	553154	41.6917	5	4		
553155	553155	41.6917	5	2		
553156	553156	41.6917	5	2		
553170	553170	41.6917	5	2		
553171	553171	41.6917	5	2		
553172	553172	41.6917	5	2		
553173	553173	41.6917	5	2		
553179	553179	41.6917	5	4		
553180	553180	41.6917	5	2		
553181	553181	41.6917	5	2		
553182	553182	41.6917	5	2		
553215	553215	41.6917	5	4		
553217	553217	41.6917	5	4		
553218	553218	41.6917	5	4		
553219	553219	41.6917	5	4		
553220	553220	41.6917	5	4		
554414	554414	41.7333	5	4		
554415	554415	41.7333	5	4		
554434	554434	41.7333	5	4		
554465	554465	41.7333	5	2		
554466	554466	41.7333	5	4		
554470	554470	41.7333	5	2		
554471	554471	41.7333	5	2		
554472	554472	41.7333	5	2		
554483	554483	41.7333	5	2		
554484	554484	41.7333	5	2		
554494	554494	41.7333	5	4		
554495	554495	41.7333	5	4		
554502	554502	41.7333	5	4		
554503	554503	41.7333	5	4		
554504	554504	41.7333	5	2		
554505	554505	41.7333	5	2		
554506	554506	41.7333	5	2		
554540	554540	41.7333	5	4		
554541	554541	41.7333	5	4		
554542	554542	41.7333	5	4		
554544	554544	41.7333	5	2		
554556	554556	41.7333	5	4		
554557	554557	41.7333	5	2		
554558	554558	41.7333	5	2		
554559	554559	41.7333	5	2		
554566	554566	41.7333	5	2		
554567	554567	41.7333	5	2		
554568	554568	41.7333	5	2		
554569	554569	41.7333	5	4		
554570	554570	41.7333	5	4		
554597	554597	41.7333	5	4		
554600	554600	41.7333	5	4		
554601	554601	41.7333	5	4		
554602	554602	41.7333	5	4		
554603	554603	41.7333	5	4		
554604	554604	41.7333	5	4		
554605	554605	41.7333	5	4		
554606	554606	41.7333	5	1		
554607	554607	41.7333	5	4		
555799	555799	41.775	5	4		
555800	555800	41.775	5	3		
555801	555801	41.775	5	4		
555819	555819	41.775	5	3		
555850	555850	41.775	5	2		
555851	555851	41.775	5	1		
555852	555852	41.775	5	2		
