date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,pair_kpa,prcp_mm,etr_mm,eto_mm
1979-01-01,1979,1,1,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,-18.2500000000,-5.3500000000,124.9000000000,0.1354925146,86.9340451125,0.0000000000,0.8000000000,0.5000000000
1979-01-02,1979,1,2,40.9416666667,-118.1416666333,1291.7600097656,0.5235657526,-16.3500000000,-1.2500000000,80.1000000000,0.1648049255,86.9340451125,0.0000000000,0.5000000000,0.4000000000
1979-01-03,1979,1,3,40.9416666667,-118.1416666333,1291.7600097656,0.5983608601,-13.1500000000,0.1500000000,77.3000000000,0.2289869460,86.9340451125,1.7000000000,0.6000000000,0.4000000000
1979-01-04,1979,1,4,40.9416666667,-118.1416666333,1291.7600097656,0.5235657526,-9.6500000000,3.2500000000,83.9000000000,0.2987093642,86.9340451125,0.0000000000,0.6000000000,0.4000000000
1979-01-05,1979,1,5,40.9416666667,-118.1416666333,1291.7600097656,1.9446727954,-11.3500000000,2.7500000000,92.4000000000,0.3196178388,86.9340451125,0.0000000000,1.1000000000,0.7000000000
1979-01-06,1979,1,6,40.9416666667,-118.1416666333,1291.7600097656,0.5983608601,-13.8500000000,-0.9500000000,93.2000000000,0.2303818092,86.9340451125,0.0000000000,0.5000000000,0.4000000000
1979-01-07,1979,1,7,40.9416666667,-118.1416666333,1291.7600097656,0.6731559677,-15.4500000000,-0.7500000000,83.2000000000,0.2303818092,86.9340451125,0.0000000000,0.6000000000,0.4000000000
1979-01-08,1979,1,8,40.9416666667,-118.1416666333,1291.7600097656,0.8975412902,-9.9500000000,2.7500000000,67.7000000000,0.3558501785,86.9340451125,0.3000000000,0.7000000000,0.5000000000
1979-01-09,1979,1,9,40.9416666667,-118.1416666333,1291.7600097656,0.8975412902,-7.6500000000,3.1500000000,93.8000000000,0.4213180970,86.9340451125,4.0000000000,0.6000000000,0.5000000000
1979-01-10,1979,1,10,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-8.1500000000,2.7500000000,45.8000000000,0.4199255513,86.9340451125,6.6000000000,0.7000000000,0.5000000000
1979-01-11,1979,1,11,40.9416666667,-118.1416666333,1291.7600097656,1.8698776879,-4.8500000000,4.2500000000,64.7000000000,0.4964904876,86.9340451125,5.2000000000,0.8000000000,0.6000000000
1979-01-12,1979,1,12,40.9416666667,-118.1416666333,1291.7600097656,2.3934434405,-4.6500000000,4.9500000000,43.5000000000,0.4477732567,86.9340451125,0.0000000000,1.3000000000,0.9000000000
1979-01-13,1979,1,13,40.9416666667,-118.1416666333,1291.7600097656,1.1219266128,-7.3500000000,4.4500000000,98.7000000000,0.3530634814,86.9340451125,0.0000000000,1.0000000000,0.7000000000
1979-01-14,1979,1,14,40.9416666667,-118.1416666333,1291.7600097656,1.3463119353,-6.3500000000,4.3500000000,62.3000000000,0.4477732567,86.9340451125,1.3000000000,0.8000000000,0.6000000000
1979-01-15,1979,1,15,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-5.2500000000,5.2500000000,66.8000000000,0.4686546025,86.9340451125,0.3000000000,0.9000000000,0.7000000000
1979-01-16,1979,1,16,40.9416666667,-118.1416666333,1291.7600097656,1.4211070428,-6.5500000000,5.5500000000,100.2000000000,0.3934639716,86.9340451125,0.0000000000,1.2000000000,0.8000000000
1979-01-17,1979,1,17,40.9416666667,-118.1416666333,1291.7600097656,1.1219266128,-8.9500000000,3.6500000000,100.9000000000,0.3279801628,86.9340451125,0.0000000000,1.0000000000,0.7000000000
1979-01-18,1979,1,18,40.9416666667,-118.1416666333,1291.7600097656,0.8975412902,-6.4500000000,4.2500000000,62.9000000000,0.3293738242,86.9340451125,0.0000000000,1.0000000000,0.7000000000
1979-01-19,1979,1,19,40.9416666667,-118.1416666333,1291.7600097656,1.2715168278,-8.7500000000,3.3500000000,65.2000000000,0.2819798434,86.9340451125,0.0000000000,1.2000000000,0.8000000000
1979-01-20,1979,1,20,40.9416666667,-118.1416666333,1291.7600097656,0.9723363977,-6.2500000000,5.9500000000,102.4000000000,0.3237990769,86.9340451125,0.0000000000,1.2000000000,0.8000000000
1979-01-21,1979,1,21,40.9416666667,-118.1416666333,1291.7600097656,0.9723363977,-6.8500000000,5.5500000000,95.8000000000,0.3502767165,86.9340451125,0.0000000000,1.1000000000,0.8000000000
1979-01-22,1979,1,22,40.9416666667,-118.1416666333,1291.7600097656,1.3463119353,-8.9500000000,2.3500000000,108.8000000000,0.2038765120,86.9340451125,0.0000000000,1.4000000000,0.9000000000
1979-01-23,1979,1,23,40.9416666667,-118.1416666333,1291.7600097656,0.9723363977,-10.5500000000,2.4500000000,107.2000000000,0.1745740678,86.9340451125,0.0000000000,1.2000000000,0.8000000000
1979-01-24,1979,1,24,40.9416666667,-118.1416666333,1291.7600097656,0.3739755376,-9.3500000000,2.9500000000,86.8000000000,0.3349483009,86.9340451125,3.1000000000,0.6000000000,0.5000000000
