OPENET_ID,Date,ACRES,CDL,IRR STATUS FLAG,IRR EFFICIENCY,ITYPE,srctype,ET VOLUME (acft),ETC VOLUME (acft),ETO VOLUME (acft),PPT VOLUME (acft),PRZ VOLUME (acft),NIWR VOLUME (acft),CU VOLUME (acft),AW VOLUME (acft),ET RATE (inches),ETC RATE (inches),ETO RATE (inches),PPT RATE (inches),PRZ RATE (inches),NIWR RATE (inches),CU RATE (inches),AW RATE (inches),timestep
ORx_62521,1984-11-01,12.227,59,1,0.0,0,0,0.131,0.655,0.688,11.284,0.131,0.0,0.0,0.0,0.129,0.643,0.675,11.075,0.129,0.0,0.0,0.0,monthly
ORx_62521,1984-12-01,12.227,59,1,0.0,0,0,0.339,0.23,0.464,3.378,0.339,0.804,0.0,0.0,0.333,0.226,0.456,3.316,0.333,0.789,0.0,0.0,monthly
ORx_62521,1985-01-01,12.227,59,1,0.0,0,0,0.403,0.194,0.559,0.322,0.403,-0.002,0.0,0.0,0.395,0.19,0.549,0.316,0.395,-0.002,0.0,0.0,monthly
ORx_62521,1985-02-01,12.227,59,1,0.0,0,0,0.705,0.355,0.917,2.89,0.705,0.098,0.0,0.0,0.692,0.348,0.9,2.837,0.692,0.096,0.0,0.0,monthly
ORx_62521,1985-03-01,12.227,59,1,0.0,0,0,2.124,1.151,1.889,3.995,2.124,-0.885,0.0,0.0,2.084,1.129,1.854,3.921,2.084,-0.869,0.0,0.0,monthly
ORx_62521,1985-04-01,12.227,59,1,0.0,0,0,3.131,2.548,3.143,1.018,2.161,2.082,0.971,0.0,3.073,2.5,3.085,0.999,2.12,2.044,0.953,0.0,monthly
ORx_62521,1985-05-01,12.227,59,1,0.0,0,0,2.276,3.706,4.166,0.793,0.854,2.852,1.421,0.0,2.233,3.637,4.089,0.779,0.839,2.799,1.395,0.0,monthly
ORx_62521,1985-06-01,12.227,59,1,0.0,0,0,5.647,5.41,5.385,2.609,1.455,4.341,4.192,0.0,5.542,5.31,5.285,2.561,1.428,4.261,4.114,0.0,monthly
ORx_62521,1985-07-01,12.227,59,1,0.0,0,0,5.557,6.584,6.831,0.347,0.349,6.235,5.208,0.0,5.454,6.462,6.704,0.341,0.343,6.119,5.112,0.0,monthly
ORx_62521,1985-08-01,12.227,59,1,0.0,0,0,1.548,3.223,5.005,0.971,0.955,2.269,0.593,0.0,1.519,3.163,4.912,0.953,0.937,2.226,0.582,0.0,monthly
