date,END_Date,sw_in,lw_out,es,flux,DOY_x,rso,H_corr,energy,ebr_5day_clim,vpd,t_max,H,lw_in,LE,t_avg,t_dew,t_min,flux_corr,vp,EToF,DOY_y,LE_corr,wd,ws,ebc_cf,sw_out,ebr_corr,Rn,ebr,EToF_filtered,rh,G,Rn_subday_gaps,ET,ppt,gridMET_ETr,H_subday_gaps,ET_corr,gridMET_prcp,ET_fill,ET_fill_val,G_subday_gaps,gridMET_ETo,LE_subday_gaps,ET_gap,3x3_ENSEMBLE
5/1/2008,5/31/2008,277.2072292,381.3238889,1.436054232,172.3259097,137,355.3536428,62.89220923,165.0431319,1.060980334,0.595614649,16.76709677,65.03155556,304.355,107.2943542,11.30805556,3.848428466,6.041612903,166.243825,0.840439583,0.867536712,137,102.2881229,220.97,2.479180556,0.958942596,29.67693056,1.000831299,170.5617639,1.044126512,0.875291365,64.55728472,5.518631944,0,116.1653852,117.49,167.9000092,0,110.7589872,43.59999847,114.7842648,,0,132.5,0,1,113.011775
6/1/2008,6/30/2008,335.6935625,399.5879167,1.785306405,213.5610139,167.5,374.641798,54.83336363,200.4165139,1.025464005,0.912836961,20.89933333,58.38717361,302.8205556,155.1738403,14.55868056,4.286524876,8.254666667,203.8356363,0.872469444,1.008864046,167.5,149.0022726,209.0125,2.330805556,0.957838727,34.90665972,1.017060083,204.0176528,1.065585913,1.000007731,55.37698611,3.601138889,0,163.0801491,7.58,200.1000061,0,156.6396279,3.299999952,156.9294336,,0,158.8000031,0,0,132.7924117
7/1/2008,7/31/2008,331.7812231,414.7302419,2.320611942,205.8856116,198,362.3624521,38.77832642,224.7751882,0.945797715,1.183497023,27.09709677,35.60932124,328.6518817,170.2762903,19.03321909,8.394037041,11.40483871,224.3444229,1.137114919,1.061198443,198,185.5660965,196.824328,1.352930108,1.089494715,35.73053091,0.998083573,209.974207,0.915962359,1.06280623,56.20367608,-14.80098118,0,185.6962392,0.25,244,0,202.3700553,0.699999988,203.4440569,,0,191.6000061,0,0,181.0052333
8/1/2008,8/31/2008,291.0683132,398.8278226,2.111251446,201.1291868,229,319.8181732,41.86446219,187.3796573,1.064918091,0.997400639,26.18419355,44.86776882,327.612836,156.261418,17.05385081,8.027525339,8.100322581,187.8199627,1.113850806,1.058761348,229,145.9555005,196.2001344,1.362432796,0.933807645,35.49442876,1.002349804,184.3573387,1.07337792,1.022386442,61.16718414,-3.022318548,0,170.1312197,16,200.9000092,0,158.9122889,5.300000191,158.7128707,,0,155.3000031,0,0,133.9031836
9/1/2008,9/30/2008,236.6747292,374.1222917,1.719941437,144.2420208,259.5,255.6746844,50.90012962,128.4367639,1.083102696,0.969987965,24.937,59.08567361,301.5972222,85.15634722,13.19822222,2.434338884,2.023666667,124.8422167,0.749953472,0.612245236,259.5,73.94208704,207.9397917,1.209201389,0.863171792,35.50959028,0.972013097,128.6405139,1.123058667,0.622716778,56.28533333,0.20375,0,89.40671685,0,179.5,0,77.63485478,0,80.40740885,,0,128.6000061,0,0,90.12167466
10/1/2008,10/31/2008,150.6003763,343.5806452,1.099120521,83.03782258,290,185.650138,55.91325785,84.92186828,0.974236209,0.451208559,16.31354839,50.71076613,290.0367608,32.32705645,7.001176075,-0.022597281,-0.816129032,89.62510595,0.647911962,0.785420822,290,33.7118481,195.3614247,1.551122312,1.086395839,24.44615591,1.055383116,72.60837366,0.977814364,0.481099787,67.58260081,-12.31349462,0,34.86547623,32.11,98.5,0,36.35443772,24.39999962,30.72584905,,0,67.5,0,0,50.00348888
11/1/2008,11/30/2008,79.71273611,323.4811111,0.776517098,36.81534722,320.5,131.4467674,17.01059261,57.824,0.748380065,0.12929071,8.785666667,10.68470833,300.1649306,26.13063889,2.713305556,0.321633796,-1.671333333,56.58649333,0.647226389,2.888535094,320.5,39.57590072,181.5709722,1.667756944,1.531928928,14.15976389,0.978598736,42.23586111,0.636679358,0.655070947,87.34675,-15.58813889,0,27.17851461,2.76,41.60000229,0,41.16023109,74.5,17.99678647,,0,28,0,0,22.33449629
12/1/2008,12/31/2008,74.49668011,297.6343414,0.54514759,13.35038306,351,109.1869769,1.220039328,25.80913978,0.835599381,0.107843827,2.564516129,-2.719327957,268.9067204,16.06971102,-2.405181452,-5.29351265,-6.519354839,22.05006663,0.437303763,2.378151557,351,20.83002731,181.1292339,2.777056452,1.246561231,35.29633065,0.854351087,10.47474462,0.517273461,0.863683498,85.88516801,-15.33439516,0,17.19289748,173.87,25.89999962,0,22.27933398,144,11.93312254,,0,16.5,0,0,11.55604012
1/1/2009,1/31/2009,98.20042339,303.2757392,0.595096889,19.7127957,16,123.3711523,5.865489226,37.72100134,0.836309904,0.124899309,4.979677419,2.898239247,267.2924059,16.81455645,-1.035376344,-4.219771806,-5.750322581,27.60942579,0.470197581,1.562604826,16,21.74393657,179.7668011,1.83234543,1.238844334,33.18648522,0.731937775,29.03161962,0.522594708,0.575096458,83.87090054,-8.68938172,0,18.00057371,110.33,36,0,23.27819277,43.20000076,12.7988082,,0,23.80000114,0,0,11.3305713
2/1/2009,2/28/2009,102.2768378,311.922619,0.640408259,35.20118304,45.5,169.5417411,12.19804476,45.08856399,0.815233679,0.151248289,5.065714286,8.12953869,276.7542411,27.07164435,0.24125744,-3.430452722,-3.672142857,49.48324098,0.48915997,1.453483598,45.5,37.28519622,199.1227679,2.369025298,1.404629166,23.56107887,1.097467664,43.55095238,0.780712001,0.88426657,80.16193452,-1.537611607,0,26.19763959,72.49,47.5,0,36.07974932,45.10000229,27.62277332,,0,33.40000153,0,0,22.33231574
3/1/2009,3/31/2009,181.0992272,327.2383065,0.734320374,83.5421707,75,236.2234801,33.92979167,84.52181452,0.986349612,0.215626153,6.707741935,33.59797715,269.7852823,49.94419355,1.973366935,-2.800012483,-2.106774194,86.9571118,0.51869422,1.143185345,75,53.02732013,212.2031586,2.883098118,1.079067244,23.26018145,1.028812648,100.3874395,0.988409574,0.988119112,74.35998656,15.865625,0,53.59292941,147.48,72.5,0,56.89671216,67.40000153,54.2600772,,0,55.5,0,0,52.55865678
4/1/2009,4/30/2009,261.6182778,355.0520833,0.991696684,150.0936042,105.5,304.9718002,60.6247159,139.7522153,1.068773442,0.436511962,11.60666667,63.73444444,271.5936111,86.35915972,5.785506944,-2.071934905,0.408666667,142.8407312,0.555184722,1.010875293,105.5,82.21601528,220.8743056,2.709916667,0.954799749,27.71452778,1.022099942,150.4450139,1.073998032,0.968776445,62.36463194,10.69279861,0,90.00247742,21.75,122.2000046,0,85.68251358,17.10000038,88.44669353,,0,94,0,0,92.66463149
5/1/2009,5/31/2009,301.5765121,386.2205645,1.52245396,180.0797177,136,354.2029058,54.12768622,168.3105511,1.061369963,0.698484874,18.21967742,57.51387769,301.4700269,122.5658401,12.06800403,3.480346845,5.848064516,169.3131086,0.823969086,0.963677181,136,115.1854224,201.1375,2.628252688,0.938134968,27.90968414,1.005956594,188.917043,1.069925305,0.971288197,61.43875672,20.60649194,0,132.8724403,118.23,170,0,124.8727774,49,129.0304806,,0,134.9000092,0,0,112.6703009
6/1/2009,6/30/2009,304.1162708,400.2330556,1.729842135,205.2079236,166.5,374.5104387,55.55296649,187.7450417,1.030428784,0.738158801,20.652,57.972625,318.1008333,147.2352986,14.52994444,6.420339954,8.705333333,198.5941506,0.991683333,1.097544878,166.5,143.0411841,198.4311806,2.030631944,0.963728265,28.73760417,1.057786394,193.2512917,1.093013812,1.087074898,63.40326389,5.50625,0,154.7560587,109.45,167.9000092,0,150.3610473,30.80000114,150.8699141,,0,138.5,0,0,122.6737898
7/1/2009,7/31/2009,331.2068952,414.3484543,2.384937425,207.6095901,197,363.2501589,31.20730626,221.5166062,0.943584206,1.269001941,27.72,29.21776882,329.9254704,178.3918212,19.2056586,8.06728485,10.11677419,219.4420444,1.115935484,1.073971237,197,188.2347381,177.7831317,1.21843414,1.056927639,30.92133737,0.990634735,215.8588978,0.937219081,1.080613805,54.6159543,-5.657708333,0,194.5983215,0.25,246.3000031,0,205.3182592,0,207.533815,,0,193.1999969,0,0,171.3327519
8/1/2009,8/31/2009,290.5115591,394.8260081,2.03351097,201.8939382,228,321.6089993,43.6336187,187.8197782,1.062577226,1.049549948,25.92387097,47.08060484,319.8993952,154.8133333,16.3705914,6.248735718,6.440322581,187.4711079,0.983961022,0.966958082,228,143.8374892,186.527621,1.298958333,0.929459355,33.29316532,0.998143591,182.2944624,1.074934387,0.96347546,57.74014785,-5.52531586,0,168.4370707,3.28,217.6000061,0,156.4968775,5.400000095,156.8301006,,0,164.1000061,0,0,131.0157
9/1/2009,9/30/2009,237.8722083,378.1666667,1.781555943,145.7849236,258.5,257.9869079,62.89872427,137.7420903,1.083106432,1.01913511,25.015,66.526125,304.8593056,79.25879861,13.746,2.494452106,3.137666667,137.6490683,0.762420833,0.623398666,258.5,74.75034404,201.5282639,1.344479167,0.945363743,31.94325694,0.999324666,132.6209236,1.058390528,0.625209923,54.78982639,-5.121166667,0,83.26023811,0.25,188.5,0,78.52326104,2,81.51578027,,0,132.1999969,0,0,84.33972961
10/1/2009,10/31/2009,143.890121,340.2254032,1.00285119,82.56664651,289,187.808774,49.21975998,81.84546371,0.981201899,0.355228878,14.12806452,50.92140457,291.9426075,31.64524194,5.879852151,0.114082732,-1.724516129,79.66772378,0.647622312,0.84797468,289,30.44796379,195.2656586,1.598951613,0.963825329,21.55611559,0.973392051,74.05114919,1.008811518,0.535158963,72.07697581,-7.794314516,0,34.0876341,41.81,80.59999847,0,32.79765423,23.20000076,29.42688313,,0,57.29999924,0,0,44.44657654
11/1/2009,11/30/2009,95.61427778,313.9592361,0.686561168,45.53845139,319.5,132.7743484,22.68033488,53.26163889,0.753960505,0.18474589,7.275333333,19.93791667,277.1111806,25.60053472,0.713583333,-3.165189856,-4.731,52.38075698,0.501815278,1.909186073,319.5,29.7004221,175.5893056,1.6173125,1.169921295,17.78554167,0.983461232,40.98016667,0.854995309,0.897365338,80.51107639,-12.28147222,0,26.56211027,71.8,44,0,30.81195267,48.5,22.82584447,,0,29.30000114,0,0,27.7797645
12/1/2009,12/31/2009,73.32172043,294.4083333,0.492090231,38.52376344,350,109.3378033,23.57288144,53.70198253,0.826005935,0.079750177,1.811290323,16.77610887,264.4768817,21.74765457,-3.985658602,-6.553903705,-9.086129032,51.32974538,0.412340054,1.751781392,350,27.75686394,168.834543,1.406928763,1.288586798,16.8869086,0.955825893,26.5044422,0.717362034,1.268762473,88.75141801,-27.19754032,0,23.20364808,191.71,27.5,0,29.60417631,57.5,21.86981608,,0,17.5,0,0,13.77671173
1/1/2010,1/31/2010,54.40303091,316.588172,0.668759921,17.96326613,16,123.3711523,-3.662497046,28.14984543,0.836309904,0.096775378,4.434516129,-3.581733871,301.4710349,21.545,1.018669355,-1.180096055,-1.52516129,21.45056446,0.571984543,1.405843253,16,25.1130615,166.252957,1.833521505,1.175330854,10.5043414,0.762013579,28.78018145,0.638130187,0.921028431,87.68075941,0.630336022,0,23.108278,133.99,33,0,26.93415031,66,21.19486736,,0,22.80000114,0,0,1.776711731
2/1/2010,2/28/2010,106.7334598,318.6182292,0.69014695,49.7353125,45.5,169.5417411,22.42196639,61.94679315,0.815233679,0.140638766,6.031071429,20.75283482,288.0843006,28.98247768,1.335974702,-1.889494045,-2.358928571,53.77217342,0.549508185,0.917935696,45.5,31.35020702,194.8857143,1.806421131,1.115950969,16.18751488,0.868038048,60.01103423,0.802871464,0.815462309,82.59230655,-1.935758929,0,28.08134326,103.18,48,0,30.37514589,36.20000076,28.31287386,,0,34.5,0,0,17.89620584
3/1/2010,3/31/2010,171.3645699,327.1217742,0.781906376,88.32556452,75,236.2234801,47.04008821,84.20481183,0.986349612,0.283222236,8.889677419,48.0033871,275.7961022,40.32217742,2.611780914,-3.178554807,-2.991935484,86.23980908,0.49868414,0.671123638,75,39.19972087,196.3362231,2.339254032,0.976626043,23.18383065,1.024167232,96.85388441,1.048937259,0.683532606,71.29043683,12.64907258,0,43.28219242,60.84,101,0,42.07917101,28.80000114,47.95036603,,0,72.40000153,0,0,53.45399041
4/1/2010,4/30/2010,222.5500625,338.5595139,0.859075105,135.0783194,105.5,304.9718002,68.99945454,125.1374167,1.068773442,0.341086216,9.680333333,75.11179167,277.8719444,59.96652778,3.92575,-2.66400098,-1.578666667,124.2593936,0.517988889,0.769000688,105.5,55.25993908,210.8984722,2.761256944,0.921170335,26.17463889,0.992983529,135.6860347,1.079439891,0.714145935,67.46423611,10.54861806,0,62.36868604,55.06,112.2000046,0,57.47095978,39.79999924,57.27274192,,0,84.70000458,0,0,79.89620584
5/1/2010,5/31/2010,276.3157728,358.9375,1.067642993,178.1429301,136,354.2029058,94.17020418,167.4986223,1.061369963,0.445548907,12.57354839,101.2506519,289.6692204,76.89227823,7.138555108,-0.343696527,1.6,165.8421378,0.622094086,0.774465943,136,71.67193363,211.9825941,2.617137097,0.932779991,28.75538978,0.990110459,178.2892003,1.063548629,0.789040801,63.49341398,10.79057796,0,82.89187016,35.46,132.6999969,0,77.2645351,14.10000038,81.15588683,,0,105.0999985,0,0,92.01569996
6/1/2010,6/30/2010,322.8039236,390.0010417,1.63719401,205.1509931,166.5,374.5104387,95.15465655,200.2628403,1.030428784,0.771926649,19.85633333,95.3755,309.398125,109.7754931,13.47443056,4.371523594,6.899333333,204.9355802,0.865267361,0.833884341,166.5,109.7809236,205.5030556,2.542583333,0.99471785,29.85807639,1.023333035,212.3452222,1.024408686,0.824736798,59.3299375,12.08238194,0,115.2501115,77.14,179.8000031,0,115.265025,19.5,117.0505889,,0,142.9000092,0,0,107.7945922
7/1/2010,7/31/2010,338.1875605,410.2379704,2.30436835,208.0083804,197,363.2501589,56.50203628,219.3668817,0.943584206,1.239050474,27.32870968,53.78618952,326.5344086,154.2221909,18.60002688,7.320165906,9.092903226,218.0525816,1.065317876,0.912409231,197,161.5505453,198.115793,1.543857527,1.047501064,33.61130376,0.994008667,220.8704637,0.94822144,0.912009201,54.48405914,1.503581989,0,168.1436523,22.34,249.5,0,176.1332525,1,176.3989306,,0,193.6000061,0,0,143.7928478
8/1/2010,8/31/2010,288.5902621,393.4741935,2.016433675,192.1091331,228,321.6089993,42.37311738,185.2791263,1.062577226,1.074753568,25.29064516,43.64038978,320.5219758,148.4687433,16.15020833,5.702145434,5.921612903,186.061072,0.941680108,0.979409308,228,143.6879546,200.2696237,1.422903226,0.967857871,33.00051075,1.004220365,182.6385282,1.036863336,0.967636082,56.38391801,-2.640598118,0,161.5545627,12.68,214,0,156.3497836,5.300000191,156.2915522,,0,162.4000092,0,0,133.3510685
9/1/2010,9/30/2010,229.5321121,373.1841236,1.588518048,147.4580172,258.5,257.9869079,70.28002536,142.4432471,1.083106432,0.723671784,21.97333333,72.67612069,311.5311782,74.78189655,12.32040948,4.354712481,2.920333333,142.3497714,0.864846264,0.803391394,258.5,71.61464984,199.1551006,1.317291667,0.968216108,29.26265805,0.996148839,138.614181,1.03520539,0.744875452,65.48831897,-3.829066092,0,78.43667184,47.00689655,138,0,75.12797174,18.5,76.15106399,,0,103.3000031,0,1,78.56999564
