date,sw_in,lw_out,es,flux,DOY_x,rso,H_corr,energy,ebr_5day_clim,vpd,t_max,H,lw_in,LE,t_avg,t_dew,t_min,flux_corr,vp,EToF,DOY_y,LE_corr,wd,ws,ebc_cf,sw_out,ebr_corr,Rn,ebr,EToF_filtered,rh,G,Rn_subday_gaps,ET,ppt,gridMET_ETr,H_subday_gaps,ET_corr,gridMET_prcp,ET_fill,ET_fill_val,G_subday_gaps,gridMET_ETo,LE_subday_gaps,ET_gap,3x3_ENSEMBLE
5/31/2008,276.4858264,382.860625,1.393437271,186.4505347,137,355.3857233,65.3815849,154.0855625,1.15918925,0.576924077,16.61129032,76.91322222,303.9929861,109.5373125,10.81029861,3.489073675,5.051612903,158.3714781,0.816513194,0.801140657,137,91.84612976,202.9575,3.397659722,0.850071724,35.84318056,1.020392256,161.6585,1.210045456,0.803531827,65.12929861,7.5729375,0,118.5218486,129.053,166.4000092,0,99.3992544,47.80000305,104.2690908,,0,131.8000031,0,1,110.2088056
6/30/2008,333.9483958,401.0052083,1.757913792,212.3497847,167.5,374.643008,54.86406025,190.1075208,1.087831913,0.891894347,20.84833333,60.28573611,301.5692361,152.0640486,14.27420833,4.224430746,7.579333333,196.7497043,0.866019444,0.957088746,167.5,141.8856441,208.8992361,2.694166667,0.928809804,41.1565625,1.034939089,193.3264306,1.116998338,0.952268178,55.90477083,3.218909722,0,159.7955694,11.13,201.1999969,0,149.1365145,4.800000191,150.2407868,,0,158.6999969,0,0,125.1024412
7/31/2008,327.2999194,413.7153226,2.318210982,201.8094086,198,362.3809419,15.82899236,206.1385484,0.958442794,1.191906547,26.85709677,15.31601478,324.1891129,186.4933938,19.09034274,8.30672679,11.69903226,209.1909273,1.126304435,1.106705883,198,193.361935,189.952621,1.784596774,1.036135185,45.90623656,1.014807415,191.861875,0.978998883,1.108691573,54.17469758,-14.27667339,0,203.3978071,2.03,244.6000061,0,210.8924534,0.600000024,212.1156549,,0,191.1999969,0,0,164.7628596
8/31/2008,289.3784005,401.0237231,2.135766516,176.8048589,229,319.8924684,17.70877007,163.0796976,0.999232183,1.014283989,25.63129032,18.77512097,323.9405914,158.0297379,17.46981855,8.122839276,9.622903226,164.0539989,1.121482527,1.028864285,229,146.3452289,196.3963038,1.818125,0.927661792,48.16502016,1.005974388,164.1297984,1.084162293,1.015622131,58.79614247,1.050100806,0,172.1279465,14.73,208.3000031,0,159.3908554,4.100000381,161.2953951,,0,159.4000092,0,0,138.4407149
9/30/2008,239.7023542,380.6473611,1.750321699,120.5534514,259.5,255.8124873,52.27406927,124.7270694,0.944988886,0.986093227,24.65566667,50.98402778,301.1854861,69.56942361,13.84880556,2.707568125,3.478666667,123.5488535,0.764228472,0.570179531,259.5,71.27478424,183.9870139,1.441763889,1.025248324,40.11744444,0.990553647,120.1270556,0.966537993,0.594770927,53.49488194,-4.600013889,0,73.09727499,0,185.1999969,0,74.88945389,0,78.93902716,,0,131.3000031,0,0,96.66172624
10/31/2008,148.9220486,347.4684812,1.104078601,67.6645,290,185.8327616,49.55650993,78.29372917,0.864384005,0.437510725,15.74322581,41.83661806,288.230578,25.82788194,7.5324375,0.403049409,0.234516129,79.2084256,0.672759028,0.68757242,290,29.64138288,182.3610887,1.805555556,1.188939914,23.99639785,1.011548353,65.73896528,0.864239074,0.521373755,66.88914651,-12.55476389,0,27.86326239,40.04,99.59999847,0,31.98887833,26.80000114,32.14868017,,0,68,0,1,40.6652136
11/30/2008,77.78879167,326.0846528,0.785967735,32.15897222,320.5,131.6471831,12.73950004,46.830125,0.704398718,0.121321207,8.434666667,8.215923611,299.4095833,23.94304861,2.982520833,0.736199716,-1.061,46.15504751,0.664646528,2.083420597,320.5,33.41554747,180.6627083,1.756069444,1.431683754,16.18296528,0.985584546,34.92904167,0.68671549,0.86480158,87.8000625,-11.90108333,0,24.90860711,233.24,45.10000229,0,34.76133941,77.19999695,21.02947088,,0,29.70000076,0,0,16.88622493
12/31/2008,70.88252016,298.9067204,0.551130442,4.940840054,351,109.3900348,-2.306978974,18.96936828,0.757039511,0.102016866,2.402580645,-3.983850806,272.3702957,8.92469086,-2.195625,-4.932683214,-6.07516129,9.85874803,0.449113575,0.943875308,351,12.165727,180.0907258,2.997426075,1.254249674,37.61545027,0.519719365,6.734193548,0.260464133,0.620942919,86.41357527,-12.23517473,0,9.544895387,176.47,30.39999962,0,13.01211941,135.3999939,12.61461991,,0,19.30000114,0,0,4.663034002
1/31/2009,93.85647177,305.1293683,0.600423284,21.60977823,16,123.5738988,8.375611945,38.40989919,0.724456201,0.119501913,4.914193548,5.936391129,266.862836,15.6733871,-0.847426075,-3.878407154,-5.339677419,31.71100626,0.480921371,1.457989809,16,23.33539432,179.8334677,2.203004032,1.493346101,30.07006048,0.825594624,25.51737231,0.562609605,0.799836577,84.47330645,-12.89252688,0,16.7784906,139.93,39,0,24.98189912,46,17.14496507,,0,25.60000038,0,0,16.11508282
2/28/2009,102.6739658,314.5877976,0.644951393,40.11314732,45.5,169.7338372,18.69166639,45.67896577,0.887834299,0.150401542,5.046785714,15.19851935,275.9923363,24.91462798,0.376852679,-3.263707429,-3.343571429,47.43249098,0.494549851,0.952776783,45.5,28.74082459,184.0989583,2.418720238,1.166043476,21.91598958,1.038388023,42.15944196,0.87815358,0.892850563,80.0603497,-3.51952381,0,24.1101884,90.51,52.40000153,0,27.81717135,50.09999847,30.07773677,,0,36.40000153,0,0,25.44812554
3/31/2009,172.9925605,327.7175403,0.732237964,88.99682796,75,236.3798628,36.37011052,77.91241935,0.998956018,0.212166055,6.421935484,39.28333333,271.5179435,49.71349462,1.942157258,-2.755175664,-1.994516129,85.72827482,0.520071909,1.015650042,75,49.35816431,210.0795027,3.595383065,1.024518763,29.87971102,1.100315913,86.91385753,1.142267545,0.932400035,74.75372312,9.001438172,0,53.34482933,146.61,75.30000305,0,52.95828364,85.20000458,52.49365917,,0,57,0,0,47.55187446
