date,g_2,sw_out,lw_out,t_min,EToF,sw_in,H_corr,ebc_cf,EToF_filtered,flux_corr,ws,DOY_x,wd,energy,g_1,lw_in,LE_corr,t_avg,H,Rn,DOY_y,flux,ebr_5day_clim,ebr_corr,G,ebr,Corrected_Soil_Heat_Flux_Plates_Average_Plate_1_2_3_and_4,rso,LE,t_max,ET_fill,LE_subday_gaps,ppt,ET_corr,gridMET_ETo,ET,gridMET_ETr,Rn_subday_gaps,ET_gap,G_subday_gaps,ET_fill_val,H_subday_gaps,gridMET_prcp,3x3_ENSEMBLE
9/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.88840453
10/31/2017,-6.599792609,37.12366129,408.8487231,-2.524490829,0.389178151,151.1779731,29.96789035,1.412725447,0.427503864,52.73816346,2.13295254,289,174.7915321,52.67838548,-5.94237228,341.3542339,22.0484465,5.872306366,21.64775583,46.56117876,289,37.80058442,0.812677172,0.987432253,-6.117206717,0.707865162,-6.271082444,183.2956338,15.64143807,14.53230168,27.07481408,1,20.574,23.75631117,65.40000104,16.85187188,96.900001,0,0,2,,1,21.2,41.55579773
11/30/2017,,,,-1.375771352,,,,1.398235446,0.696601929,,,319.5,,,,,18.28423094,,,,319.5,,0.687701767,,,,,127.8272521,,7.47454179,22.3348605,7,,19.09033581,33.20000026,,50.30000104,0,6,2,,7,38.30000014,17.00043592
12/31/2017,-7.12824077,43.60378395,415.9521605,-10.37226077,,72.15400463,,1.266114466,0.269418892,,1.683412203,350,,8.199671343,-6.181681965,389.0071759,-1.681733257,-5.12410118,,1.605479167,350,,0.698943996,,-6.594192177,,-6.654961367,104.3329808,,0.162661476,3.854292586,164,13.70659259,-1.758827781,14.90000014,,23.30000018,0,8,2,,164,9.2000001,3.555797733
1/31/2018,0.007878943,25.98235954,418.4731183,-3.194218009,0.443682894,72.54651747,-8.688345601,1.346954885,0.443299075,3.091505431,2.653974382,16,133.005606,10.32298933,-0.502153296,381.9852823,11.57674594,0.610436677,-6.347637635,10.07585215,16,2.613133375,0.775767311,0.279802705,-0.247137177,0.235658058,-0.247137177,118.3658296,8.780333249,4.927955739,12.22790012,1,28.702,12.41547704,27.10000036,9.416195701,41.30000054,0,0,0,,1,27.6000001,9.778116827
2/28/2018,-5.067781623,44.20416071,417.2435268,-6.890993604,0.542284646,117.5538921,8.014281299,1.295052615,0.572184745,26.71168258,2.45784579,45.5,189.3403291,28.71278834,-4.597620942,367.7743304,18.69740128,-1.324995777,6.176591711,23.88008705,45.5,20.59308945,0.759565373,0.930306115,-4.832701282,0.71720967,-4.832701282,164.7773697,14.41649774,4.110963606,19.41870408,0,5.842,18.0629946,37.50000038,13.93084137,55.90000084,0,0,0,,0,11.7000001,20.11115955
3/31/2018,3.326282348,35.23719153,418.7002016,-2.886839127,0.700484253,167.6507164,29.79715116,1.312027973,0.683560836,67.62094337,2.918756297,75,150.9054479,69.78575309,1.553009635,358.7459677,37.82379221,2.826880559,23.16466011,72.45897648,75,52.01565454,0.770995426,0.968979202,2.673223384,0.745362087,2.439645991,232.3162137,28.85099443,8.666318484,40.73559943,0,22.352,40.60867099,63.4000007,30.97650249,86.1000018,0,0,1,,0,18.7000013,41.33391456
4/30/2018,1.262685044,44.57956528,410.2328472,-0.032998078,0.627834817,210.2701972,37.73762181,1.288951035,0.625098898,98.72969748,3.291453124,105.5,167.6994022,97.74398357,-0.475455346,344.4254167,60.71663653,7.038494436,29.20530542,99.88296319,105.5,76.13348598,0.836877403,0.989595972,0.393614849,0.764081741,0.393614849,302.5450883,46.8126891,13.7224596,64.05202163,0,56.896,63.39595247,102.5000008,48.87679205,138.5000009,0,0,1,,0,20.50000034,62.44376635
5/31/2018,1.613927272,56.63466801,401.8463038,4.050931274,0.906878245,265.7326566,22.24546449,1.303088507,0.907925603,147.8574211,1.966837428,136,184.1681239,143.5351923,1.693845479,337.9344086,125.6119566,12.30708195,16.97932495,145.1890786,136,113.3954745,0.854756123,1.030112677,1.653886376,0.79001862,1.653886376,353.2980246,96.41614954,19.86794806,135.1728463,2,353.06,136.1559478,148.5000012,104.5090632,188.2000022,0,0,0,,2,36.3000005,110.7776809
6/30/2018,3.224963826,65.6978125,398.5552083,5.188548968,0.878005447,326.9933111,24.33760962,1.349848786,0.879158553,176.5827047,2.140534604,166.5,188.3792017,176.24974,2.237621489,316.2452083,146.6927064,14.83714317,17.87939531,178.9810326,166.5,131.6569015,0.816713843,0.970386203,2.731292657,0.722329578,2.731292657,374.4020358,109.431005,22.59576233,153.6591268,0,248.93,154.2787058,171.9000033,115.087378,222.6000032,0,0,0,,0,21.7000003,170.7781168
7/31/2018,4.430574797,71.34607124,382.6963038,8.903442032,0.808023588,330.931166,5.015846569,1.261309462,0.811616241,165.6180968,1.858334574,197,178.5383441,167.5813275,4.621446257,295.2186156,157.0931004,20.51322045,3.816118118,172.107338,197,131.173154,0.820584849,0.967344927,4.526010527,0.766187441,4.526010527,362.7539431,124.5825903,29.58825452,172.2216897,1,164.592,171.5242642,212.5000018,136.0281192,284.500009,0,0,0,,1,3,162.6647777
8/31/2018,-1.230898478,60.24525403,376.8137769,7.440093668,0.77500777,269.862916,6.431863402,1.261407832,0.769310714,136.3466193,1.798211344,228,178.2015547,133.6661232,-1.116471573,299.687164,131.7284832,18.37049185,5.090364986,132.4924382,228,108.1773571,0.832521603,1.033622756,-1.173685026,0.819555318,-1.173685026,319.7596662,104.4564171,27.5964,143.2477169,2,181.356,143.5923433,186.1000007,113.8571678,255.5000046,0,0,0,,2,0,164.4450741
9/30/2018,-2.055384382,52.079725,376.3520139,1.3492832,0.718031842,221.6156521,14.96616769,1.175604585,0.718636323,99.60111951,1.510607268,258.5,187.6822411,98.50523606,-3.118344673,302.73375,84.63495182,12.27703568,12.6415348,95.91837153,258.5,85.18109673,0.834142557,1.011125129,-2.586864528,0.86473674,-2.586864528,254.5784399,72.53956193,22.39426733,89.41147623,1,91.186,88.80147376,121.6000013,76.10816098,172.0000016,0,0,0,,1,0,98.77768091
10/31/2018,-4.51184438,31.65974328,385.8706317,-2.263165503,0.657286511,135.020291,16.306993,1.262462684,0.65647492,49.31044298,1.677137876,289,185.267683,51.83783397,-5.773399676,329.166129,33.00344998,6.551291705,12.66844718,46.65683065,289,38.72583013,0.812677172,0.951244278,-5.181003329,0.747057258,-5.142622028,183.2956338,26.05738296,14.98133087,37.40190936,0,17.018,35.56874085,59.1000008,28.08295642,85.400001,0,0,1,,0,17.5000001,39.3326068
11/30/2018,-7.007056138,24.96083125,390.2036806,-6.851011007,0.388583787,93.92404444,9.743400576,1.427716452,0.344316077,20.33430859,2.172392204,319.5,160.322233,22.76058001,-8.282994161,336.355625,11.76813398,0.398927293,7.059435216,15.11555486,319.5,14.94199358,0.687701767,0.945122424,-7.64502515,0.687871304,-7.64502515,127.8272521,8.596914625,8.3191903,12.17980094,0,20.066,12.22175825,34.40000024,8.930863053,53.6000006,0,0,0,,0,15.60000008,18.88840453
12/31/2018,-4.259801848,39.54621505,395.1704301,-8.060730485,0.652607909,67.25666734,-9.951167363,1.469728923,0.581089747,-2.598180099,2.66756339,350,160.1911657,3.371578237,-4.517371401,366.4308468,8.671413507,-3.038195359,-6.937466632,-1.026015457,350,-1.289048861,0.698943996,-0.379571158,-4.397593694,-0.197510267,-4.388586625,104.3329808,6.271545316,1.141394835,8.977011031,0,24.384,9.26914772,14.8,6.70560464,23.60000058,0,0,1,,0,20.40000018,7.444202267
1/31/2019,-3.665065628,16.86648925,399.1361559,-4.931676965,0.804328026,78.4364953,-1.941689028,1.401075594,0.693848696,13.40453325,2.661701129,16,133.0899797,15.67189782,-4.591325446,349.109879,15.34622228,-0.716317088,-1.228245652,11.54370228,16,9.780483606,0.775767311,0.85532291,-4.128195537,0.624077806,-4.128195537,118.3658296,11.00872926,4.11862251,15.53652188,1,20.32,16.42701157,24.10000042,11.78370423,36.90000076,0,0,0,,1,15.6000001,10.33304272
