HUC8_all,Year,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Alsea (17100205),1985,22.640984829,46.42614602690838,27.223763592121703,19.202382434786674,38.40476486957335,2.050535627206589,1.2024107519056233,0.8481248753009654,1.6962497506019307
Alsea (17100205),1986,8.652282998731156,17.295500738229798,14.863367932499294,2.432132805730506,4.864265611461012,1.9989522696802862,1.7178550371825545,0.28109723249773205,0.5621944649954641
Alsea (17100205),1987,22.64098482824663,51.62444003176146,38.63391271180119,12.990527319960272,25.981054639920544,2.2801322655963006,1.706370681526272,0.5737615840700286,1.1475231681400573
Alsea (17100205),1988,22.64098482824663,45.72423313975479,38.78291087609477,6.941322263660015,13.88264452732003,2.019533756442863,1.712951586262699,0.3065821701801638,0.6131643403603276
Alsea (17100205),1989,22.64098482824663,50.936561037995645,32.67365713979857,18.26290389819707,36.52580779639414,2.2497502394174913,1.4431199608877125,0.8066302785297785,1.613260557059557
Alsea (17100205),1991,22.64098482824663,43.09603941358915,41.37506844854464,1.7209709650445184,3.441941930089037,1.9034525105914577,1.827441198446703,0.07601131214475507,0.15202262428951013
Alsea (17100205),1992,22.64098482824663,48.03720267679813,30.727385022569674,17.309817654228453,34.61963530845691,2.121692278017318,1.3571576172885618,0.7645346607287562,1.5290693214575124
Alsea (17100205),1993,22.64098482824663,49.09948824337937,44.31140651487169,4.788081728507677,9.576163457015355,2.1686109776516176,1.957132468000654,0.21147850965096368,0.42295701930192736
Alsea (17100205),1995,22.64098482824663,50.275835559060695,43.549569728863894,6.726265830196805,13.45253166039361,2.220567521265115,1.9234838969783663,0.29708362428674895,0.5941672485734979
Alsea (17100205),1996,22.64098482824663,46.64229997369259,43.531933098813695,3.1103668748788924,6.220733749757785,2.0600826477964067,1.9227049277690325,0.1373777200273742,0.2747554400547484
Alsea (17100205),1997,8.652282998731156,19.041471469997372,18.17617400052373,0.8652974694736428,1.7305949389472857,2.200745337709108,2.1007373433334577,0.10000799437565061,0.20001598875130122
Alsea (17100205),1998,22.64098482824663,50.639858909246435,40.3559130069657,10.283945902280738,20.567891804561476,2.2366455917619246,1.7824274568047116,0.4542181349572129,0.9084362699144258
Alsea (17100205),1999,8.652282998731156,17.01358401957438,13.572098284559694,3.4414857350146875,6.882971470029375,1.9663693411402976,1.5686146981727274,0.39775464296757007,0.7955092859351401
Alsea (17100205),2000,22.64098482824663,48.92697693386138,37.97706449915055,10.94991243471083,21.89982486942166,2.1609915516051514,1.6773592132693276,0.4836323383358239,0.9672646766716478
Alsea (17100205),2001,22.64098482824663,48.03533220112902,42.92456974292561,5.110762458203414,10.221524916406828,2.1216096634277455,1.895879091327044,0.22573057210070147,0.45146114420140293
Alsea (17100205),2002,22.64098482824663,44.10215104899244,40.89697863499661,3.205172413995832,6.410344827991664,1.9478901374453954,1.8063250757526241,0.14156506169277125,0.2831301233855425
Alsea (17100205),2003,22.64098482824663,44.523487740152916,30.713064925606893,13.810422814546028,27.620845629092056,1.966499605821295,1.3565251316846267,0.6099744741366685,1.219948948273337
Alsea (17100205),2004,22.64098482824663,52.79756418394716,43.72246500807141,9.07509917587575,18.1501983517515,2.3319464495235884,1.9311202820790627,0.4008261674445257,0.8016523348890514
Alsea (17100205),2005,8.652282998731156,19.008381160731787,17.4046471733904,1.6037339873413856,3.2074679746827712,2.1969208778214186,2.011567025251343,0.18535385257007553,0.37070770514015106
Alsea (17100205),2006,22.64098482824663,48.172427625849025,39.97331847135939,8.199109154489632,16.398218308979263,2.1276648516521095,1.7655291399466486,0.3621357117054607,0.7242714234109214
Alsea (17100205),2007,22.64098482824663,46.030028220783066,26.81887727637539,19.211150944407674,38.42230188881535,2.0330400187962026,1.1845278586519994,0.8485121601442029,1.6970243202884059
Alsea (17100205),2008,22.64098482824663,45.53931006835962,32.95985960311666,12.579450465242953,25.158900930485906,2.011366131545007,1.455760862575038,0.5556052689699689,1.1112105379399377
Alsea (17100205),2009,8.652282998731156,17.61727697675243,13.3601095340309,4.257167442721528,8.514334885443056,2.0361420193185977,1.5441137947048358,0.49202822461376206,0.9840564492275241
Alsea (17100205),2010,22.64098482824663,43.72379741977508,43.72379741977508,0.0,0.0,1.9311791316261906,1.9311791316261906,0.0,0.0
Alsea (17100205),2011,8.652282998731156,18.53295253759385,13.982749982247082,4.5502025553467655,9.100405110693531,2.141972533759203,1.6160763562978269,0.5258961774613758,1.0517923549227517
Alsea (17100205),2012,8.652282998731156,18.657014145759327,14.847884072944701,3.809130072814625,7.61826014562925,2.156311131812881,1.7160654679374359,0.44024566387544517,0.8804913277508903
Alsea (17100205),2013,8.652282998731156,20.42419276401103,15.062127743670548,5.362065020340478,10.724130040680956,2.360555331697565,1.7408269870367608,0.6197283446608042,1.2394566893216084
Alsea (17100205),2014,22.64098482824663,52.9527568071481,40.1936709426503,12.759085864497795,25.51817172899559,2.338800949200975,1.7752615995972552,0.5635393496037199,1.1270786992074397
Alsea (17100205),2015,8.652282998731156,19.85166528768117,12.319645131731914,7.532020155949255,15.06404031189851,2.294384648605736,1.4238606311812236,0.8705240174245126,1.7410480348490252
Alsea (17100205),2016,22.64098482824663,51.38459388647789,31.738677155795756,19.645916730682128,39.291833461364256,2.2695388153951264,1.401824054764568,0.8677147606305583,1.7354295212611166
Alsea (17100205),2017,22.64098482824663,51.1182382063171,34.36012977338176,16.75810843293535,33.5162168658707,2.2577745002745013,1.5176075614217301,0.7401669388527715,1.480333877705543
Alsea (17100205),2018,22.64098482824663,51.67157627473438,31.17586474217283,20.495711532561543,40.99142306512309,2.2822141645653824,1.3769659305313515,0.9052482340340307,1.8104964680680613
Alsea (17100205),2019,22.64098482824663,51.02494495189784,37.714844776460225,13.310100175437602,26.620200350875205,2.253653952730877,1.6657775738362592,0.5878763788946175,1.175752757789235
Alsea (17100205),2020,22.640984829,53.878466702418166,44.99789963870706,8.880567063711098,17.761134127422196,2.379687416839184,1.9874532834398138,0.39223413339936997,0.7844682667987399
Alsea (17100205),2021,22.640984829,48.821366026046455,29.55465086158516,19.266715164461296,38.53343032892259,2.156326961692628,1.3053606583283295,0.8509663033642986,1.7019326067285971
Alsea (17100205),2022,22.640984829,44.66351845667632,42.055392683317976,2.608125773358343,5.216251546716686,1.9726844390385558,1.8574895483102298,0.11519489072832605,0.2303897814566521
Alsea (17100205),2023,22.64098482824663,48.511015988747886,25.365609312843148,23.145406675904745,46.29081335180949,2.1426195175143663,1.120340369699701,1.022279147814666,2.044558295629332
Alsea (17100205),2024,22.64098482824663,55.4750869997408,44.94298235820628,10.532104641534525,21.06420928306905,2.4502064473154332,1.985027714083176,0.4651787332322574,0.9303574664645148
Alvord Lake (17120009),1985,7477.247027388998,15937.235028741552,3220.6393483171423,8676.457795467817,13641.04902070662,2.131430855549348,0.43072528385380454,1.1603813226560706,1.8243410938196565
Alvord Lake (17120009),1986,9396.29379162849,22331.5636157864,5966.571649706092,11798.022292919264,19991.89049160826,2.3766353107948186,0.6349920279229598,1.2556038108802605,2.1276357396806587
Alvord Lake (17120009),1987,9250.503339602546,19215.70298871067,5629.454846438283,10307.333269475752,16759.11357046816,2.0772602617682296,0.6085565984650686,1.1142456676220835,1.8116974779869897
Alvord Lake (17120009),1988,6985.539455964034,13545.472453529474,2937.1630414804918,7762.839231533696,11752.85049324555,1.9390732153069117,0.4204633099556591,1.1112726913174942,1.6824542424152136
Alvord Lake (17120009),1989,9489.415732166079,21213.26406425986,5952.77768703951,11746.6432115315,19487.049890317536,2.235465771865563,0.6273070813897953,1.2378679091605338,2.053556345335644
Alvord Lake (17120009),1990,5511.756221013928,11211.583046226257,2694.389855106738,7896.912726626334,11862.173303505504,2.0341217203114628,0.4888441627433017,1.4327398400747193,2.1521585548867708
Alvord Lake (17120009),1991,4473.989259052896,9280.564865019369,3187.9207628312483,5286.919355238436,7052.025756899717,2.0743377615939966,0.7125454663040705,1.1817013964753302,1.5762276904510424
Alvord Lake (17120009),1992,3506.198874928605,7286.058955548889,1572.6453836592177,5418.419868276647,6900.657531632977,2.078050679797007,0.4485328527439108,1.5453829236617331,1.96813066736652
Alvord Lake (17120009),1993,11289.772650449237,25668.724180104393,8482.92516368873,12518.68572572583,20876.16663032739,2.27362631426267,0.7513813985750352,1.1088518886363663,1.8491219687667222
Alvord Lake (17120009),1994,3968.37171545217,8640.36120819217,1758.1525816524743,6240.31399643117,8325.470600107494,2.177306418788356,0.44304130452460505,1.5725124670484976,2.097956340049879
Alvord Lake (17120009),1995,11103.679342632637,24670.614461937195,8404.698761336791,12160.000370121506,20158.513333539147,2.22184140055398,0.7569291675298029,1.0951325227335338,1.8154805007868362
Alvord Lake (17120009),1996,10106.597695206565,24766.736907850758,7102.630053955165,12873.253777848495,21572.906139433184,2.4505513778981545,0.7027716218806113,1.2737475227646708,2.1345369421071294
Alvord Lake (17120009),1997,10847.299465530108,25544.419804967816,6288.773412987869,14353.280007888678,23635.802895006633,2.354910536594046,0.5797547521364145,1.3232122938524618,2.1789573497177854
Alvord Lake (17120009),1998,11432.191977965538,26445.265945330844,10543.095221073616,11502.489098620043,19065.20558865042,2.3132279440637085,0.9222286715788564,1.0061490500500687,1.6676771720940997
Alvord Lake (17120009),1999,10832.440288245261,24634.419449900488,4697.48420774377,14741.630854275705,24379.591952121726,2.2741338788299013,0.43364967474976146,1.3608781089033533,2.250609401334716
Alvord Lake (17120009),2000,8929.50167762875,21141.792353525434,4699.961701951022,12826.792468118965,21120.78126354718,2.3676340647868814,0.5263408722712853,1.4364510956142347,2.3652810678631115
Alvord Lake (17120009),2001,7121.3423055945605,15704.110946076002,2771.126316389853,9685.212811131765,14370.323542934715,2.205217818800646,0.3891297732188555,1.3600262977841995,2.0179234372212833
Alvord Lake (17120009),2002,9264.706966997695,19485.5006367516,3508.5737553773156,12349.334871359299,19966.0311368213,2.103196647898518,0.3787031546572808,1.3329439253016333,2.1550634259608383
Alvord Lake (17120009),2003,3790.2130666520716,8715.331088060655,1980.2131490872418,6127.453847341805,8046.155608184191,2.29943038420238,0.5224543091020425,1.616651554830462,2.122876858553873
Alvord Lake (17120009),2004,8911.31723804862,20164.279025175725,5106.37727781698,12084.347042656509,19649.26167964149,2.2627719883072253,0.5730216017912928,1.3560674275021896,2.2049783611950327
Alvord Lake (17120009),2005,9697.84215712519,22869.582769985987,7607.046699646832,12048.60333697597,19692.127527745306,2.358213548895851,0.7844061159582588,1.242400437310029,2.030567956117653
Alvord Lake (17120009),2006,10254.024700131587,25924.393293247078,5283.0932626641525,15872.973019059817,26135.64458220829,2.528216388333295,0.5152214293570363,1.5479749155330318,2.548818180813715
Alvord Lake (17120009),2007,8395.823172453842,19550.79230220842,4012.194557910014,12723.399837262052,20778.82666589782,2.328633166829111,0.47787983089898406,1.515443998273655,2.474900464086931
Alvord Lake (17120009),2008,6281.55029736108,14165.75125059698,3068.0718147426696,10230.136880808812,15605.200382198698,2.2551361654380297,0.4884258932116784,1.6286006473762629,2.484291240771334
Alvord Lake (17120009),2009,6245.598701674866,14965.521693243123,4741.203744151859,9367.762158027172,14039.966266929569,2.3961708729748934,0.7591271822956577,1.4998981851835986,2.2479776459484193
Alvord Lake (17120009),2010,6510.412852857897,15249.189239305866,3848.289085297211,10286.879123876193,15517.502656238037,2.3422768392655593,0.5910975497672033,1.5800655590314105,2.3834898042489376
Alvord Lake (17120009),2011,11002.797520440174,28004.19474172177,7456.102953207788,15251.691694404124,25381.626153336874,2.5451885931462135,0.6776551999031517,1.3861648972518736,2.3068338853082397
Alvord Lake (17120009),2012,6055.856672028907,14574.16819459341,2707.1714320635315,10730.091296779388,16284.031671248847,2.406623700641613,0.447033603778562,1.7718535754553222,2.688972436626901
Alvord Lake (17120009),2013,4595.184537839195,10416.85246677143,2777.9135194132873,6722.3037672105775,8696.502655309214,2.2669062321640236,0.6045270862439732,1.462901807719701,1.8925252258527556
Alvord Lake (17120009),2014,5065.832528761201,12560.881445555066,3470.9743933192617,7956.156395282474,10265.32343945122,2.479529549040719,0.6851735373431411,1.5705525893545622,2.026384287512462
Alvord Lake (17120009),2015,7300.360909436291,17550.620666256793,6453.2995085048615,10165.013460780647,14613.63754873776,2.4040757551549587,0.8839699281392327,1.392398757661634,2.0017691905955615
Alvord Lake (17120009),2016,7560.682050418059,18153.976270962234,5530.97870711938,11398.90509949152,16415.50052430577,2.4011029891090887,0.7315449413473948,1.5076556616821668,2.1711666242330736
Alvord Lake (17120009),2017,7540.8160988003665,19176.239791224158,5497.505274341236,11971.993513778585,18080.457804823356,2.542992633685208,0.7290331977749476,1.5876257101248172,2.3976791859039888
Alvord Lake (17120009),2018,7599.896721509964,18426.193645125888,4734.829027932767,12432.923410159588,17531.678796277432,2.4245321114659744,0.6230122857501201,1.6359332061672265,2.306831189778879
Alvord Lake (17120009),2019,11365.140035747701,26941.05358520412,10214.48733332824,13268.61265249676,20315.386232862897,2.370499043607402,0.8987559591170703,1.1674834283398103,1.78751745855865
Alvord Lake (17120009),2020,7981.748864895996,20293.358744494406,4919.20122197223,13741.879181227758,19219.23855191018,2.5424702139834654,0.6163061886859214,1.7216626849367576,2.407898178360014
Alvord Lake (17120009),2021,5822.032448636,15480.844111798158,3619.798912190105,10456.01165641528,13033.162687231737,2.659010276630294,0.6217414526843046,1.7959384027247975,2.238593275151735
Alvord Lake (17120009),2022,7923.240132576997,20584.25452644811,4776.605073302792,14002.512768614357,19136.26347896622,2.597959191191795,0.6028600665103436,1.7672710323447063,2.415206804131309
Alvord Lake (17120009),2023,11566.34081863107,28947.44182621033,11745.982483483975,13588.26275678992,20652.572607068327,2.5027311818083184,1.0155314172104921,1.1748108559019752,1.7855753112342279
Alvord Lake (17120009),2024,11015.02765327897,29141.174110765707,7792.227394417538,16613.030267982034,25116.048664477417,2.645583381907436,0.7074178694501903,1.5082150304939672,2.280162107173724
Applegate (17100309),1985,1144.892830103,3126.3426025118974,964.656924537047,1334.7017801737734,2090.5943208328163,2.7306858077106106,0.8425739939783375,1.165787526203389,1.8260174802952835
Applegate (17100309),1986,1215.4224452123017,3506.4822092299096,1391.1510089350052,1296.6094149566331,2031.954463000128,2.8849905010742347,1.1445822926957783,1.0667973263651145,1.6718092306129826
Applegate (17100309),1987,1151.267020373534,3627.421391046428,1014.318935800784,1590.2807010444258,2500.4538214587833,3.1508080461381534,0.8810457677070289,1.3813308927484536,2.1719147488890105
Applegate (17100309),1988,1172.839291905646,3302.037965940078,847.374451485987,1497.1884733121115,2316.721154438437,2.8154223589959027,0.7224983485240855,1.2765504051961445,1.9753099767609217
Applegate (17100309),1989,1339.5018550542766,3644.057754786259,1538.4553137789972,1284.4696025611725,2045.455786848117,2.720457415595443,1.1485279456493616,0.9589158818366293,1.5270272147291915
Applegate (17100309),1990,1139.7570933169134,3212.9605822075773,1163.156036089376,1254.8206051927286,1959.9374335397856,2.8189871342298396,1.0205297627974108,1.100954416121209,1.7196097703906268
Applegate (17100309),1991,1214.5318928167524,3323.125326998628,1299.91135897825,1223.2764429893307,1925.06178347866,2.736136734368999,1.0702982496107902,1.0071999345791554,1.585023657974136
Applegate (17100309),1992,1126.696840201884,3162.177546442221,1211.8713673814732,1202.0263283160295,1856.6196745962416,2.806591297332133,1.0755966681901117,1.0668587018497788,1.6478431538545617
Applegate (17100309),1993,1292.726279235603,3418.6492074478156,1687.7324424934186,1054.7217450915682,1683.6904263843624,2.644526735752045,1.3055605580257756,0.8158894593797781,1.302433820236051
Applegate (17100309),1994,1373.21968866058,3914.7692042084673,1126.254197626724,1673.6659720444677,2625.8457127698625,2.850796006301716,0.8201558766793222,1.2187896706294234,1.9121818121695278
Applegate (17100309),1995,1319.2290422701717,3687.727689567101,1805.885031184833,1122.8719813861544,1759.0745484707245,2.795365756367174,1.3688942354370914,0.8511577181881019,1.3334110242476565
Applegate (17100309),1996,1277.9135349493447,3646.0275415502824,1983.7466255892089,993.0525267361592,1547.389931926117,2.853109730694579,1.5523324319965377,0.7770889810440288,1.210872167487806
Applegate (17100309),1997,1341.920618242225,3656.951186429257,1835.0276886592567,1078.1348715421698,1669.082480778031,2.7251620824035623,1.3674636664148958,0.8034267130900882,1.243801204101293
Applegate (17100309),1998,1186.4018725436,3155.833311831623,1671.8394950390548,899.3013343436457,1363.3026014548452,2.6600036504204416,1.4091679503629704,0.7580073457028337,1.1491069198432542
Applegate (17100309),1999,1233.618954125752,3476.4408137216105,1333.2768118800848,1300.5675786354961,2003.728983791615,2.8180831707350946,1.0807849599108657,1.054270100411346,1.624268966596439
Applegate (17100309),2000,1333.9318439828023,3553.5921377502336,1594.865853295992,1160.3856841927513,1791.4355948866591,2.6639982798072013,1.1956126997719037,0.8698987803815497,1.3429738580479942
Applegate (17100309),2001,1314.310879883545,3236.8267670153596,922.0046611473633,1393.7718944865437,2199.0379111061143,2.462755818701097,0.7015118532907966,1.0604583099928682,1.6731489823023915
Applegate (17100309),2002,1244.5607894186708,3233.734799461331,1121.4411996783922,1318.0731254481277,2094.7070734694444,2.598293974030626,0.9010738641398246,1.059066890628777,1.683089400918595
Applegate (17100309),2003,1312.2800394742405,3334.7000146931414,1606.406701262175,1037.3356494509162,1653.1882106257215,2.541149689382744,1.2241340666171947,0.7904834473185467,1.2597830957545193
Applegate (17100309),2004,1107.7156828361371,2839.439263909404,1085.2892809435498,1086.804239735186,1753.778355581262,2.5633285760109965,0.9797543699704891,0.9811220122410739,1.5832387161757788
Applegate (17100309),2005,1270.1984210432897,3171.223357255046,1690.471824937162,896.94445241663,1442.8712944444724,2.4966361985006493,1.330872245573,0.7061451483146358,1.1359416533200821
Applegate (17100309),2006,1220.4714265719917,3201.9612681856415,1410.9783210954367,1095.728198916558,1774.4257937029022,2.6235446389590407,1.156092875569019,0.8977909478751116,1.4538855683715872
Applegate (17100309),2007,1204.589165883942,3124.2997796280083,999.6995035684721,1283.6726276175737,2037.0463355178113,2.5936641870221036,0.829909094222079,1.0656518122306033,1.6910714401312101
Applegate (17100309),2008,1109.6970189378496,2941.746417955881,829.0378666110524,1262.0682188608398,1979.025376796582,2.6509455894290714,0.7470848821460915,1.1373088305390175,1.7833925323966473
Applegate (17100309),2009,1043.3457873484535,2718.543000576239,1078.2554938286498,972.6644087226341,1446.8941175055606,2.6056011664983205,1.0334593831723953,0.9322550783422932,1.386782919958569
Applegate (17100309),2010,1188.5387181022604,2987.5933186205725,1933.8127907132807,632.2705666805525,966.0498286612993,2.513669326137614,1.6270507315075098,0.5319730498053096,0.8128046768251613
Applegate (17100309),2011,1241.5001325973408,3119.481429080911,1551.9684132822476,932.0971522490207,1405.263645668869,2.5126710397965466,1.2500751087600583,0.7507829663287925,1.1319077692959394
