HUC8_all,Year,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Alsea (17100205),1985,2262.157443011,4814.021699663047,3119.3741743564897,1694.6475253065573,3300.5420992093705,2.128066600552541,1.3789376968406357,0.7491289037119053,1.4590240433558193
Alsea (17100205),1986,1749.5319539878633,3847.090516865414,3267.486824691247,579.6036921741655,1131.201230692517,2.1989255515433137,1.8676348364163196,0.3312907151269935,0.6465736325158679
Alsea (17100205),1987,1523.1034645099223,3823.193436128221,2887.2190227686574,935.9744133595648,1811.8543845833233,2.510133766492601,1.8956158199650976,0.6145179465275041,1.1895806337531445
Alsea (17100205),1988,1625.6305079876133,3499.1154829266056,2987.1307486909704,511.98473423563547,998.9409824372598,2.1524666679996063,1.8375213395747438,0.31494532842486284,0.6144944853882327
Alsea (17100205),1989,1698.028843099211,3686.7021063337093,2868.499877686638,818.2022286470701,1583.3224838489064,2.1711657733709684,1.6893116329232103,0.4818541404477574,0.9324473434497469
Alsea (17100205),1990,2014.2222959569326,4422.85529280884,3668.9707114660487,753.8845813427899,1457.6737552861525,2.195812895968166,1.8215321709180887,0.3742807250500762,0.7236906066485722
Alsea (17100205),1991,1549.1785038640621,3088.783813525237,2869.7735537789977,219.01025974623823,416.3994413379402,1.9938204705403482,1.852448602030703,0.14137186850964467,0.2687872574395588
Alsea (17100205),1992,1633.6377075165608,3685.292923377022,2729.107894181693,956.1850291953284,1845.1551229051092,2.255881402847493,1.6705710706999135,0.5853103321475794,1.1294763302875122
Alsea (17100205),1993,1711.235105060612,3386.710708180984,3306.8121663641623,79.89854181682217,153.90968484209455,1.9791031040477787,1.93241253442322,0.04669056962455907,0.0899407009515756
Alsea (17100205),1994,1414.2035133393877,3221.049076059218,2592.629701367386,628.4193746918336,1204.5635963810162,2.2776418285465074,1.8332790697467274,0.44436275879978127,0.85176113976457
Alsea (17100205),1995,1815.214791963327,4219.9662915141835,3658.8768492906984,561.0894422234807,1090.066497684779,2.324775178231051,2.0156715698274343,0.30910360840361445,0.6005165352942992
Alsea (17100205),1996,1887.6146688920812,4079.312967827512,3683.8597746117416,395.45319321577017,773.6093608164622,2.161094123209918,1.9515952250858226,0.2094988981240954,0.40983436586161165
Alsea (17100205),1997,1964.132032825349,4309.758365977706,4155.2881617519715,154.47020422573254,303.4398222810807,2.194230476338314,2.1155849465856456,0.07864552975266713,0.15449054198489448
Alsea (17100205),1998,1439.5128474631094,3216.547194460119,2817.4553300999164,399.0918643602019,794.4111415371167,2.2344692512669986,1.9572283325329054,0.2772409187340924,0.5518610986606531
Alsea (17100205),1999,1783.4895466247463,3770.4321939289257,3106.045340087993,664.3868538409364,1306.69326925375,2.1140758582322325,1.7415551136625294,0.3725207445697052,0.7326610193632291
Alsea (17100205),2000,1944.495657608156,4473.392166100939,3610.2502647283072,863.1419013726313,1687.7563212269388,2.3005410933154122,1.8566512352972426,0.4438898580181694,0.8679661045388901
Alsea (17100205),2001,1978.1024249708428,4334.34434561281,3886.190380790543,448.15396482226936,874.7356735325955,2.1911627481457123,1.964605235670658,0.22655751247505557,0.44220949455915515
Alsea (17100205),2002,1843.5314259594516,3932.7363389368293,3425.735861523894,507.0004774129361,999.278257341809,2.1332624351060723,1.8582465225625304,0.2750159125435422,0.5420456864855138
Alsea (17100205),2003,1730.8665034717378,3753.724815060328,2827.0182588704956,926.7065561898319,1830.3639185758589,2.1686968969190756,1.6332965328060358,0.5354003641130395,1.0574841646681308
Alsea (17100205),2004,1879.912886435045,4431.796168942911,3881.9843094898356,549.8118594530753,1089.7671359042647,2.3574476247923943,2.0649809560332337,0.29246666875916033,0.5796902312696172
Alsea (17100205),2005,1851.1365921520844,4082.0847882438543,3845.434643906873,236.650144336981,468.2858042764417,2.2051775139392205,2.0773370588694746,0.12784045506974584,0.2529720422910686
Alsea (17100205),2006,1909.448738211746,4299.709818213871,3606.727993357955,692.981824855916,1374.3562247027014,2.2518068865470946,1.8888844309775814,0.36292245556951347,0.71976597077428
Alsea (17100205),2007,1979.7860885982484,4346.524191816055,3327.6596975556877,1018.8644942603677,2006.4614026752859,2.195451426216219,1.6808177998218872,0.5146336263943324,1.013473836507218
Alsea (17100205),2008,1934.2197813875614,4172.146939204023,3319.1698324459385,852.977106758088,1689.648343155507,2.157018028329246,1.7160251716921477,0.44099285663710014,0.8735555077114324
Alsea (17100205),2009,2081.653622539155,4510.282883659607,3607.661429304106,902.6214543555004,1785.069959716131,2.1666826963066335,1.7330747969989169,0.4336078993077161,0.8575249697587739
Alsea (17100205),2010,2174.623183905603,4520.774599166894,4422.238652719979,98.53594644691466,194.6527640914531,2.0788772200283567,2.0335654864019608,0.045311733626395456,0.08951103139710785
Alsea (17100205),2011,2366.3921768075807,5077.035016442111,4339.414433746471,737.6205826956332,1455.9580298752921,2.145474898962591,1.8337680779525851,0.3117068210100035,0.6152648931756847
Alsea (17100205),2012,2423.8143730537295,5065.6827478752875,4392.090020546983,673.5927273283,1331.929429586727,2.08996316062484,1.8120570904171391,0.27790607020769914,0.5495179186963266
Alsea (17100205),2013,2366.1038229241185,5421.528619209157,4613.036749038578,808.4918701705869,1584.802276765639,2.291331667986163,1.9496341218609827,0.3416975461251835,0.669794056123489
Alsea (17100205),2014,2341.0786726074957,5643.686265324057,4662.518841270063,981.1674240539987,1916.9646149625867,2.410720464613055,1.9916113438754899,0.4191091207375673,0.8188381865986031
Alsea (17100205),2015,2064.4583908245127,4642.574315470352,3553.4357076521296,1089.1386078182215,2137.088398964421,2.2488098263952803,1.7212435588168684,0.5275662675784114,1.0351811441018681
Alsea (17100205),2016,2142.0592571070747,4819.000312833829,3640.2990882571607,1178.7012245766712,2326.243522383587,2.2497044826584567,1.699439021669975,0.5502654609884826,1.085984673236939
Alsea (17100205),2017,2457.703343210682,5564.2998468808055,4140.415235083376,1423.884611797434,2787.182161122782,2.2640242005822167,1.6846684310053635,0.579355769576855,1.1340596369461244
Alsea (17100205),2018,2533.9033591442176,5636.384025017459,4015.632325759156,1620.7516992583064,3193.1256356478825,2.2243879209825317,1.584761435856562,0.6396264851259709,1.260160780846159
Alsea (17100205),2019,2575.1866471114868,5654.97081472998,4736.012727663383,918.9580870665995,1803.907334496314,2.1959459991270918,1.8390949382156951,0.35685106091139784,0.7004957627128524
Alsea (17100205),2020,2806.2159261120005,6405.262797550151,5602.695596966206,802.5672005839459,1579.5294093113484,2.2825267072105224,1.9965304682482916,0.285996238962231,0.5628680938675233
Alsea (17100205),2021,2737.6846397500008,6411.819642489882,4722.799530640488,1689.0201118493944,3331.4441571297702,2.3420592530611546,1.7251072172694675,0.6169520357916871,1.216883825389761
Alsea (17100205),2022,2950.494790681,6256.353485267442,5404.537442591509,851.8160426759275,1689.6655546954337,2.1204421390703154,1.831739361025645,0.28870277804466854,0.5726719328677222
Alsea (17100205),2023,2734.503082039877,5981.791723482514,3916.0524449327518,2065.7392785497614,4058.7780415474704,2.1875242206786005,1.4320892416078266,0.755434979070774,1.484283586369087
Alsea (17100205),2024,2886.7643017642117,6769.646139823951,5738.536859419072,1031.109280404876,2040.0723885052498,2.3450636879799163,1.987878558672779,0.35718512930713664,0.7066986339198125
Alvord Lake (17120009),1985,11742.354210104002,25980.75643759643,5421.212731757512,16519.405820882315,32017.310348738214,2.212567937632186,0.4616802248302725,1.406822305417067,2.7266517238245225
Alvord Lake (17120009),1986,13288.43083435272,32148.314632723363,8599.260771618332,18982.084187943972,36600.472157258715,2.4192709457925483,0.6471238687857612,1.42846694425893,2.754311070547219
Alvord Lake (17120009),1987,8914.5253504228,19202.961177738394,5726.704431231407,10197.341873710344,19905.282853455225,2.154120429623057,0.6424014971206291,1.1439018313214737,2.2329043971489915
Alvord Lake (17120009),1988,5894.107656498638,11304.811032534784,2828.030751298387,5631.310100721108,10952.34647460905,1.9179851627023632,0.4798064297621538,0.955413512766809,1.8581856852467522
Alvord Lake (17120009),1989,10722.164637906617,23674.582121099753,7330.232967316489,12830.505988094414,25068.175576225494,2.2080039731344727,0.6836523421214352,1.1966339280721423,2.3379771177548134
Alvord Lake (17120009),1990,2488.270441731961,5216.939868304721,1283.393831295817,3313.2655725157147,6376.179350826103,2.0966128845196863,0.5157774692699845,1.3315536434253166,2.5624945118055424
Alvord Lake (17120009),1991,6348.631069774476,12402.860543271978,4966.537679414672,6630.598116907613,12789.436846384597,1.9536275469402207,0.7823005660322769,1.0444138341059963,2.014518831827303
Alvord Lake (17120009),1992,1145.9461592999432,2290.1542421080385,577.2221321490705,1417.9384063459477,2662.9086476031425,1.9984832825890269,0.5037078988961354,1.2373516808260556,2.323764189087129
