HUC8_all,Date,ACRES FTR GEOM,ET VOLUME,EFF VOLUME,CU VOLUME,AW VOLUME,ET RATE,EFF RATE,CU RATE,AW RATE
Alsea (17100205),1984-11-01,2262.157443011,92.1849824281523,91.5420061446752,0.6429762834770864,1.2859525669541727,0.04075091356393448,0.04046668211688662,0.0002842314470478525,0.000568462894095705
Alsea (17100205),1984-12-01,2262.157443011,76.87567185947127,75.6446365962479,1.231035263223371,2.3713955732722622,0.03398334280267753,0.03343915642562995,0.0005441863770475789,0.001048289357842336
Alsea (17100205),1985-01-01,2262.157443011,81.11294387031558,76.38266525707756,4.730278613238038,9.184504793859759,0.035856453811787654,0.03376540633502942,0.0020910474767582466,0.0040600643523887115
Alsea (17100205),1985-02-01,2262.157443011,159.35925814978611,136.6479644093203,22.71129374046572,44.396140390915875,0.07044569715610692,0.06040603620738163,0.010039660948725259,0.01962557492542308
Alsea (17100205),1985-03-01,2262.157443011,294.8342372622661,290.17266605968365,4.661571202582463,9.156748830200142,0.1303332083154357,0.1282725333535826,0.0020606749618531286,0.004047794665437712
Alsea (17100205),1985-04-01,2262.157443011,43.23477949310694,42.87833748115894,0.3564420119480066,0.7128840238960132,0.019112188511317827,0.018954621223926205,0.00015756728739162005,0.0003151345747832401
Alsea (17100205),1985-05-01,2262.157443011,574.2225614992835,572.2620287341742,1.9605327651089623,3.7648316487246603,0.25383845995041615,0.2529717949129465,0.0008666650374694672,0.001664265968912206
Alsea (17100205),1985-06-01,2262.157443011,974.9833390162829,715.3989981923256,259.5843408239566,500.4284119034872,0.4309971182724358,0.316246333959898,0.1147507843125375,0.22121732218487933
Alsea (17100205),1985-07-01,2262.157443011,1106.8139793030741,288.92859304865203,817.8853862544229,1593.0271417201122,0.4892736280238175,0.12772258356344965,0.3615510444603682,0.7042070155823217
Alsea (17100205),1985-08-01,2262.157443011,732.473631763443,161.80155650719473,570.6720752562479,1116.3340845800483,0.32379427613512984,0.07152532950661117,0.25226894662851856,0.4934820465432211
Alsea (17100205),1985-09-01,2262.157443011,428.8611699058024,418.6495768139157,10.211593091886899,19.880003177900925,0.18958060201812268,0.18506650724393456,0.004514094774188201,0.008788072306514634
Alsea (17100205),1985-10-01,2262.157443011,249.0651451120631,249.0651451120631,0.0,0.0,0.11010071199135896,0.11010071199135896,0.0,0.0
Alsea (17100205),1985-11-01,1749.5319539878633,62.964231885014115,62.964231885014115,0.0,0.0,0.03598918656015065,0.03598918656015065,0.0,0.0
Alsea (17100205),1985-12-01,1749.5319539878633,18.731043600517577,18.731043600517577,0.0,0.0,0.01070631694255269,0.01070631694255269,0.0,0.0
Alsea (17100205),1986-01-01,1749.5319539878633,44.24577496496007,44.24577496496007,0.0,0.0,0.025290063930588264,0.025290063930588264,0.0,0.0
Alsea (17100205),1986-02-01,1749.5319539878633,72.70173749332163,72.70173749332163,0.0,0.0,0.04155496407345183,0.04155496407345183,0.0,0.0
Alsea (17100205),1986-03-01,1749.5319539878633,265.9153901515372,265.50286375633425,0.41252639520288936,0.7338286636169908,0.1519923025957958,0.1517565101632754,0.00023579243252035573,0.0004194428469536153
Alsea (17100205),1986-04-01,1749.5319539878633,366.1634415567038,364.8662846406602,1.2971569160436383,2.413108607594403,0.20929222854265392,0.20855079771992052,0.0007414308227334251,0.0013792881016514106
Alsea (17100205),1986-05-01,1749.5319539878633,582.8053969096208,580.3203589448317,2.4850379647890657,4.570692758818593,0.3331207501418769,0.3317003485543982,0.0014204015874786959,0.0026125231656387916
Alsea (17100205),1986-06-01,1749.5319539878633,705.0183094823104,692.7736197716514,12.24468971065916,23.712079050788123,0.4029753831447889,0.3959765457227295,0.006998837422059513,0.01355338437616934
Alsea (17100205),1986-07-01,1749.5319539878633,654.5446307709624,493.21976725688916,161.32486351407306,318.6815975634893,0.37412556499982796,0.2819152666132503,0.09221029838657761,0.1821524876050935
Alsea (17100205),1986-08-01,1749.5319539878633,556.4976379670835,156.5569459363116,399.9406920307721,777.2924727629587,0.3180837233058871,0.08948504517420071,0.2285986781316865,0.4442859537324866
Alsea (17100205),1986-09-01,1749.5319539878633,297.10656812886253,295.2078424862369,1.8987256426256125,3.797451285251225,0.16982060113371533,0.16873532478977793,0.001085276343937405,0.00217055268787481
Alsea (17100205),1986-10-01,1749.5319539878633,220.39635395451845,220.39635395451845,0.0,0.0,0.1259744661720236,0.1259744661720236,0.0,0.0
Alsea (17100205),1986-11-01,1523.1034645099223,91.07177899253143,91.07177899253143,0.0,0.0,0.05979356039468725,0.05979356039468725,0.0,0.0
Alsea (17100205),1986-12-01,1523.1034645099223,63.021836284468485,63.021836284468485,0.0,0.0,0.04137725227008564,0.04137725227008564,0.0,0.0
Alsea (17100205),1987-01-01,1523.1034645099223,83.44534410736597,83.44534410736597,0.0,0.0,0.05478639242293074,0.05478639242293074,0.0,0.0
Alsea (17100205),1987-02-01,1523.1034645099223,115.64997823357237,115.64997823357237,0.0,0.0,0.07593048071148877,0.07593048071148877,0.0,0.0
Alsea (17100205),1987-03-01,1523.1034645099223,245.17837250534106,245.1179462072802,0.0604262980608804,0.1208525961217608,0.16097289397488848,0.16093322083418016,0.00003967314070835189,0.00007934628141670378
Alsea (17100205),1987-04-01,1523.1034645099223,412.7836089863094,411.0567453174167,1.7268636688926893,3.2464828981448206,0.2710148184970006,0.2698810388758976,0.0011337796211029756,0.002131492031757289
Alsea (17100205),1987-05-01,1523.1034645099223,603.6943779929521,599.9239203186352,3.7704576743168787,7.200684703271562,0.3963580886392366,0.39388257875945953,0.0024755098797769924,0.004727639895158713
Alsea (17100205),1987-06-01,1523.1034645099223,661.2354593517699,513.7600106869872,147.47544866478296,290.82805527143654,0.4341369281597234,0.33731130068192444,0.09682562747779912,0.19094438562321445
Alsea (17100205),1987-07-01,1523.1034645099223,533.113157327551,385.4510420969493,147.66211523060213,287.3141416659843,0.3500176906885881,0.25306950649014054,0.09694818419844792,0.18863731083326715
Alsea (17100205),1987-08-01,1523.1034645099223,525.6261569000051,183.48938714669737,342.1367697533074,658.356577856266,0.3451020689977433,0.12047073059855286,0.22463133839919025,0.4322467863784293
Alsea (17100205),1987-09-01,1523.1034645099223,309.3383650218993,118.10979570480202,191.2285693170972,368.3215777593787,0.203097407516851,0.07754548424115451,0.12555192327569645,0.24182308447305043
Alsea (17100205),1987-10-01,1523.1034645099223,179.0350004244548,77.12123767195052,101.91376275250427,196.46601183271844,0.11754618421937708,0.050634273684595194,0.06691191053478189,0.12899058823684958
