Month,Region,Crop,Crop_cdl,ETc_mean_in,NIWR_mean_in,ETc_mean_mm,NIWR_mean_mm
4,26.0,Potatoes,Potatoes,1.8081936181337168,0.9717881191181508,45.928117900596405,24.683418225601027
5,26.0,Potatoes,Potatoes,3.904937249007305,2.6889106619510783,99.18540612478554,68.29833081355738
6,26.0,Potatoes,Potatoes,6.407869308833956,5.705836983953353,162.75988044438247,144.92825939241516
7,26.0,Potatoes,Potatoes,7.448430628444048,7.19138971959339,189.19013796247881,182.6612988776721
8,26.0,Potatoes,Potatoes,3.6712515318854884,3.387652787725776,93.2497889098914,86.0463808082347
9,26.0,Potatoes,Potatoes,0.6952321900211343,0.2191294039422442,17.65889762653681,5.565886860133002
Season,26.0,Potatoes,Potatoes,23.93591452632565,20.164707676283992,607.9722289686715,512.1835749776134
5,26.0,Corn (Sweet),Sweet Corn,4.211874883271829,3.014698635019265,106.98162203510445,76.57334532948933
6,26.0,Corn (Sweet),Sweet Corn,5.717252206975146,4.9386342328664,145.2182060571687,125.44130951480656
7,26.0,Corn (Sweet),Sweet Corn,9.377449091826419,9.137341148087533,238.18720693239104,232.08846516142333
8,26.0,Corn (Sweet),Sweet Corn,4.692520694245429,4.31681582928799,119.1900256338339,109.64712206391495
Season,26.0,Corn (Sweet),Sweet Corn,23.99909687631882,21.407489845261185,609.577060658498,543.750242069634
3,26.0,Pasture,Grass/Pasture,1.0764961809416385,0.39102772518766304,27.343002995917615,9.932104219766641
4,26.0,Pasture,Grass/Pasture,3.3870896965639536,2.5642190703441914,86.03207829272442,65.13116438674246
5,26.0,Pasture,Grass/Pasture,6.280667861442041,5.021671015466804,159.5289636806278,127.55044379285683
6,26.0,Pasture,Grass/Pasture,8.050905145082858,7.285499939612005,204.4929906851046,185.0516984661449
7,26.0,Pasture,Grass/Pasture,7.709435609756301,7.442712604666772,195.81966448781003,189.044900158536
8,26.0,Pasture,Grass/Pasture,6.537629711599057,6.234175821391051,166.05579467461604,158.3480658633327
9,26.0,Pasture,Grass/Pasture,4.156129502453671,3.6763864003522047,105.56568936232323,93.38021456894599
10,26.0,Pasture,Grass/Pasture,1.7404803698545368,1.0928296961929722,44.208201394305235,27.757874283301494
Season,26.0,Pasture,Grass/Pasture,38.93883407769406,33.70852227321366,989.0463855734291,856.1964657396269
2,26.0,Grain (Winter),Winter Wheat,0.9513079261512377,0.19614567426719526,24.163221324241437,4.98210012638676
3,26.0,Grain (Winter),Winter Wheat,1.9810722647638817,1.0561593240444274,50.31923552500259,26.826446830728454
4,26.0,Grain (Winter),Winter Wheat,4.34999614798797,3.49632096329059,110.48990215889444,88.80655246758097
5,26.0,Grain (Winter),Winter Wheat,7.616888981804361,6.400796397217539,193.46898013783075,162.58022848932546
6,26.0,Grain (Winter),Winter Wheat,7.696024825094134,6.974776954206389,195.47903055739098,177.15933463684226
7,26.0,Grain (Winter),Winter Wheat,1.6698066598069943,1.41189322059729,42.41308915909765,35.862087803171164
Season,26.0,Grain (Winter),Winter Wheat,24.26509680560858,19.53609253362343,616.3334588624579,496.2167503540351
4,26.0,Alfalfa Hay,Alfalfa,3.849670140468221,2.994862374839998,97.78162156789281,76.06950432093595
5,26.0,Alfalfa Hay,Alfalfa,6.954066535410242,5.717955589225812,176.63328999942013,145.23607196633563
6,26.0,Alfalfa Hay,Alfalfa,6.50044973423329,5.738760752396097,165.11142324952556,145.76452311086084
7,26.0,Alfalfa Hay,Alfalfa,8.633799911573115,8.339636354705624,219.29851775395713,211.82676340952284
8,26.0,Alfalfa Hay,Alfalfa,7.431644157449403,7.101332317458045,188.76376159921483,180.37384086343434
9,26.0,Alfalfa Hay,Alfalfa,3.9637226016920044,3.4633873890314484,100.6785540829769,87.97003968139879
10,26.0,Alfalfa Hay,Alfalfa,2.001606228986381,1.351488288183576,50.84079821625408,34.32780251986283
Season,26.0,Alfalfa Hay,Alfalfa,39.33495930981265,34.7074230658406,999.1079664692413,881.5685458723513
1,26.0,Grass Seed (Spring),Sod/Grass Seed,0.2713844806142292,-0.3994897164946516,6.893165807601421,-10.14703879896415
2,26.0,Grass Seed (Spring),Sod/Grass Seed,0.35106549212001276,-0.014221285373014966,8.917063499848323,-0.36122064847458013
3,26.0,Grass Seed (Spring),Sod/Grass Seed,0.841689259596492,0.17003436504255476,21.378907193750894,4.318872872080891
4,26.0,Grass Seed (Spring),Sod/Grass Seed,3.1275677104452715,2.4331979040470832,79.4402198453099,61.80322676279591
5,26.0,Grass Seed (Spring),Sod/Grass Seed,5.841797823897913,4.693091683065603,148.38166472700698,119.20452874986631
6,26.0,Grass Seed (Spring),Sod/Grass Seed,7.04375923535882,6.217658989724633,178.91148457811403,157.92853833900568
7,26.0,Grass Seed (Spring),Sod/Grass Seed,5.49503586145568,5.288014858240129,139.57391088097427,134.3155773992993
8,26.0,Grass Seed (Spring),Sod/Grass Seed,2.4761500128368024,2.2604347825311923,62.894210326054775,57.41504347629228
9,26.0,Grass Seed (Spring),Sod/Grass Seed,1.7529097404899694,1.3314858508318326,44.52390740844522,33.819740611128545
10,26.0,Grass Seed (Spring),Sod/Grass Seed,1.4784926786807133,0.6191741965717892,37.553714038490114,15.727024592923444
11,26.0,Grass Seed (Spring),Sod/Grass Seed,0.20153037292321407,-0.41991747599091483,5.118871472249637,-10.665903890169236
12,26.0,Grass Seed (Spring),Sod/Grass Seed,0.200476290581404,-0.5247566231383879,5.092097780767662,-13.328818227715052
Season,26.0,Grass Seed (Spring),Sod/Grass Seed,28.880855627248213,22.1270445786225,733.5737329321046,562.0269322970114
3,26.0,Grain (Spring),Spring Wheat,1.0839838733773064,0.1945711789864979,27.53319038378358,4.942107946257046
4,26.0,Grain (Spring),Spring Wheat,2.1367178065299677,1.3621670798422199,54.27263228586118,34.59904382799238
5,26.0,Grain (Spring),Spring Wheat,5.2873725183535205,4.111830246436402,134.29926196617942,104.44048825948461
6,26.0,Grain (Spring),Spring Wheat,8.61991913691138,7.808832570629852,218.94594607754902,198.34434729399823
7,26.0,Grain (Spring),Spring Wheat,7.582122790887271,7.340338083716347,192.58591888853667,186.4445873263952
8,26.0,Grain (Spring),Spring Wheat,1.427757895818555,1.0815711535148718,36.2650505537913,27.471907299277742
Season,26.0,Grain (Spring),Spring Wheat,26.137874021877998,21.89931031312619,663.9020001557011,556.2424819534052
4,26.0,Onions,Onions,1.770365515089746,0.9519968030099379,44.967284083279544,24.18071879645242
5,26.0,Onions,Onions,5.073370792255371,3.910529714441437,128.86361812328641,99.32745474681249
6,26.0,Onions,Onions,6.572061345353795,5.866518456068469,166.9303581719864,149.0095687841391
7,26.0,Onions,Onions,7.92813214918516,7.666344753433778,201.37455658930304,194.72515673721796
8,26.0,Onions,Onions,6.4991366460358835,6.227484870978092,165.07807080931144,158.17811572284353
Season,26.0,Onions,Onions,27.843066447919956,24.622874597931713,707.2138877771669,625.4210147874654
5,26.0,Corn (Silage),Corn,3.8720011119229585,2.688477884277041,98.34882824284314,68.28733826063684
6,26.0,Corn (Silage),Corn,4.729642825253691,4.002165586348782,120.13292776144375,101.65500589325904
7,26.0,Corn (Silage),Corn,9.329798315873717,9.052568522687398,236.9768772231924,229.9352404762599
8,26.0,Corn (Silage),Corn,7.744932411342884,7.444576555474423,196.72128324810924,189.09224450905035
9,26.0,Corn (Silage),Corn,3.0757761360907008,2.588262425623591,78.12471385670379,65.7418656108392
