Date,ACRES,ET VOLUME (acft),ETC VOLUME (acft),ETO VOLUME (acft),PPT VOLUME (acft),PRZ VOLUME (acft),NIWR VOLUME (acft),CU VOLUME (acft),AW VOLUME (acft),ET RATE (inches),ETC RATE (inches),ETO RATE (inches),PPT RATE (inches),PRZ RATE (inches),NIWR RATE (inches),CU RATE (inches),AW RATE (inches)
1984-11-01,2698652.921,84816.078,156785.726,218126.687,1151783.394,83069.584,-238540.073,1746.494,3163.843,0.377,0.697,0.97,5.122,0.369,-1.061,0.008,0.014
1984-12-01,2698652.921,39235.19,84717.653,122106.463,394340.842,38459.94,-13972.058,775.25,1339.633,0.174,0.377,0.543,1.754,0.171,-0.062,0.003,0.006
1985-01-01,2698652.921,26751.099,48572.133,110814.331,64067.216,25933.501,2196.02,817.598,1359.204,0.119,0.216,0.493,0.285,0.115,0.01,0.004,0.006
1985-02-01,2698652.921,86457.492,127348.032,242807.042,343866.994,83059.763,11285.386,3397.729,5976.019,0.384,0.566,1.08,1.529,0.369,0.05,0.015,0.027
1985-03-01,2698652.921,260516.933,202119.161,478266.707,385533.385,245754.461,-27151.323,14762.472,24131.319,1.158,0.899,2.127,1.714,1.093,-0.121,0.066,0.107
1985-04-01,2698652.921,542127.837,540275.032,904932.011,162665.05,374184.21,403662.553,167943.627,246242.901,2.411,2.402,4.024,0.723,1.664,1.795,0.747,1.095
1985-05-01,2698652.921,821830.696,1118015.184,1144104.226,226808.15,354464.551,891712.994,467366.145,628678.672,3.654,4.971,5.087,1.009,1.576,3.965,2.078,2.796
1985-06-01,2698652.921,1169596.063,1606524.978,1474228.499,215961.764,281109.974,1426509.622,888486.089,1209800.902,5.201,7.144,6.555,0.96,1.25,6.343,3.951,5.38
1985-07-01,2698652.921,1275788.141,1835097.839,1735790.927,113660.508,143195.26,1721732.798,1132592.88,1530787.664,5.673,8.16,7.718,0.505,0.637,7.656,5.036,6.807
1985-08-01,2698652.921,858871.179,1178752.581,1337378.693,98481.198,103758.752,1081107.403,755112.427,994264.019,3.819,5.242,5.947,0.438,0.461,4.807,3.358,4.421
1985-09-01,2698652.921,481290.453,603282.382,722075.552,370798.096,330232.205,249077.431,151058.248,167980.619,2.14,2.683,3.211,1.649,1.468,1.108,0.672,0.747
1985-10-01,2698652.921,310891.74,212640.18,508221.85,345621.483,194706.863,-58418.357,116184.877,143664.294,1.382,0.946,2.26,1.537,0.866,-0.26,0.517,0.639
