OPENET_ID,OWRD
ORx_1,8
ORx_10,8
ORx_100,8
ORx_1000,8
ORx_10000,7
ORx_100000,2
ORx_100001,2
ORx_100002,2
ORx_100003,2
ORx_100004,2
ORx_100005,2
ORx_100006,2
ORx_100007,2
ORx_100008,2
ORx_100009,2
ORx_10001,7
ORx_100010,2
ORx_100011,2
ORx_100012,2
ORx_100013,2
ORx_100014,2
ORx_100015,2
ORx_100016,2
ORx_100017,2
ORx_100018,2
ORx_100019,2
ORx_10002,7
ORx_100020,2
ORx_100021,2
ORx_100022,2
ORx_100023,2
ORx_100024,2
ORx_100025,2
ORx_100026,2
ORx_100027,2
ORx_100028,2
ORx_100029,2
ORx_10003,7
ORx_100030,2
ORx_100031,2
ORx_100032,2
ORx_100033,2
ORx_100034,2
ORx_100035,2
ORx_100036,2
ORx_100037,2
ORx_100038,2
ORx_100039,2
ORx_10004,7
ORx_100040,2
ORx_100041,2
ORx_100042,2
ORx_100043,2
ORx_100044,2
ORx_100045,2
ORx_100046,2
ORx_100047,2
ORx_100048,2
ORx_100049,2
ORx_10005,7
ORx_100050,2
ORx_100051,2
ORx_100052,2
ORx_100053,2
ORx_100054,2
ORx_100055,2
ORx_100056,2
ORx_100057,2
ORx_100058,2
ORx_100059,2
ORx_10006,7
ORx_100060,2
ORx_100061,2
ORx_100062,2
ORx_100063,2
ORx_100064,2
ORx_100065,2
ORx_100066,2
ORx_100067,2
ORx_100068,2
ORx_100069,2
ORx_10007,7
ORx_100070,2
ORx_100071,2
ORx_100072,2
ORx_100073,2
ORx_100074,2
ORx_100075,2
ORx_100076,2
ORx_100077,2
ORx_100078,2
ORx_100079,2
ORx_10008,7
ORx_100080,2
ORx_100081,2
ORx_100082,2
ORx_100083,2
ORx_100084,2
ORx_100085,2
ORx_100086,2
ORx_100087,2
ORx_100088,2
ORx_100089,2
ORx_10009,7
ORx_100090,2
ORx_100091,2
ORx_100092,2
ORx_100093,2
ORx_100094,2
ORx_100095,2
ORx_100096,2
ORx_100097,2
ORx_100098,2
ORx_100099,2
ORx_1001,8
ORx_10010,7
ORx_100100,2
ORx_100101,2
ORx_100102,2
ORx_100103,2
ORx_100104,2
ORx_100105,2
ORx_100106,2
ORx_100107,2
ORx_100108,2
ORx_100109,2
ORx_10011,7
ORx_100110,2
ORx_100111,2
ORx_100112,2
ORx_100113,2
ORx_100114,2
ORx_100115,2
ORx_100116,2
ORx_100117,2
ORx_100118,2
ORx_100119,2
ORx_10012,7
ORx_100120,2
ORx_100121,2
ORx_100122,2
ORx_100123,2
ORx_100124,2
ORx_100125,2
ORx_100126,2
ORx_100127,2
ORx_100128,2
ORx_100129,2
ORx_10013,7
ORx_100130,2
ORx_100131,2
ORx_100132,2
ORx_100133,2
ORx_100134,2
ORx_100135,2
ORx_100136,2
ORx_100137,2
ORx_100138,2
ORx_100139,2
ORx_10014,7
ORx_100140,2
ORx_100141,2
ORx_100142,2
ORx_100143,2
ORx_100144,2
ORx_100145,2
ORx_100146,2
ORx_100147,2
ORx_100148,2
ORx_100149,2
ORx_10015,7
ORx_100150,2
ORx_100151,2
ORx_100152,2
ORx_100153,2
ORx_100154,2
ORx_100155,2
ORx_100156,2
ORx_100157,2
ORx_100158,2
ORx_100159,2
ORx_10016,7
ORx_100160,2
ORx_100161,2
ORx_100162,2
ORx_100163,2
ORx_100164,2
ORx_100165,2
ORx_100166,2
ORx_100167,2
ORx_100168,2
ORx_100169,2
ORx_10017,7
ORx_100170,2
ORx_100171,2
ORx_100172,2
ORx_100173,2
ORx_100174,2
ORx_100175,2
ORx_100176,2
ORx_100177,2
ORx_100178,2
ORx_100179,2
ORx_10018,7
ORx_100180,2
ORx_100181,2
ORx_100182,2
ORx_100183,2
ORx_100184,2
ORx_100185,2
ORx_100186,2
ORx_100187,2
ORx_100188,2
ORx_100189,2
ORx_10019,7
ORx_100190,2
ORx_100191,2
ORx_100192,2
ORx_100193,2
ORx_100194,2
ORx_100195,2
ORx_100196,2
ORx_100197,2
ORx_100198,2
ORx_100199,2
ORx_1002,8
ORx_10020,7
ORx_100200,2
ORx_100201,2
ORx_100202,2
ORx_100203,2
ORx_100204,2
ORx_100205,2
ORx_100206,2
ORx_100207,2
ORx_100208,2
ORx_100209,2
ORx_10021,7
ORx_100210,2
ORx_100211,2
ORx_100212,2
ORx_100213,2
ORx_100214,2
ORx_100215,2
ORx_100216,2
ORx_100217,2
ORx_100218,2
ORx_100219,2
ORx_10022,7
ORx_100220,2
ORx_100221,2
ORx_100222,2
ORx_100223,2
ORx_100224,2
ORx_100225,2
ORx_100226,2
ORx_100227,2
ORx_100228,2
ORx_100229,2
ORx_10023,7
ORx_100230,2
ORx_100231,2
ORx_100232,2
ORx_100233,2
ORx_100234,2
ORx_100235,2
ORx_100236,2
ORx_100237,2
ORx_100238,2
ORx_100239,2
ORx_10024,7
ORx_100240,2
ORx_100241,2
ORx_100242,2
ORx_100243,2
ORx_100244,2
ORx_100245,2
ORx_100246,2
ORx_100247,2
ORx_100248,2
ORx_100249,2
ORx_10025,7
ORx_100250,2
ORx_100251,2
ORx_100252,2
ORx_100253,2
ORx_100254,2
ORx_100255,2
ORx_100256,2
ORx_100257,2
ORx_100258,2
ORx_100259,2
ORx_10026,7
ORx_100260,2
ORx_100261,2
ORx_100262,2
ORx_100263,2
ORx_100264,2
ORx_100265,2
ORx_100266,2
ORx_100267,2
ORx_100268,2
ORx_100269,2
ORx_10027,7
ORx_100270,2
ORx_100271,2
ORx_100272,2
ORx_100273,2
ORx_100274,2
ORx_100275,2
ORx_100276,2
ORx_100277,2
ORx_100278,2
ORx_100279,2
ORx_10028,7
ORx_100280,2
ORx_100281,2
ORx_100282,2
ORx_100283,2
ORx_100284,2
ORx_100285,2
ORx_100286,2
ORx_100287,2
ORx_100288,2
ORx_100289,2
ORx_10029,7
ORx_100290,2
ORx_100291,2
ORx_100292,2
ORx_100293,2
ORx_100294,2
ORx_100295,2
ORx_100296,2
ORx_100297,2
ORx_100298,2
ORx_100299,2
ORx_1003,8
ORx_10030,7
ORx_100300,2
ORx_100301,2
ORx_100302,2
ORx_100303,2
ORx_100304,2
ORx_100305,2
ORx_100306,2
ORx_100307,2
ORx_100308,2
ORx_100309,2
ORx_10031,7
ORx_100310,2
ORx_100311,2
ORx_100312,2
ORx_100313,2
ORx_100314,2
ORx_100315,2
ORx_100316,2
ORx_100317,2
ORx_100318,2
ORx_100319,2
ORx_10032,7
ORx_100320,2
ORx_100321,2
ORx_100322,2
ORx_100323,2
ORx_100324,2
ORx_100325,2
ORx_100326,2
ORx_100327,2
ORx_100328,2
ORx_100329,2
ORx_10033,7
ORx_100330,2
ORx_100331,2
ORx_100332,2
ORx_100333,2
ORx_100334,2
ORx_100335,2
ORx_100336,2
ORx_100337,2
ORx_100338,2
ORx_100339,2
ORx_10034,7
ORx_100340,2
ORx_100341,2
ORx_100342,2
ORx_100343,2
ORx_100344,2
ORx_100345,2
ORx_100346,2
ORx_100347,2
ORx_100348,2
ORx_100349,2
ORx_10035,7
ORx_100350,2
ORx_100351,2
ORx_100352,2
ORx_100353,2
ORx_100354,2
ORx_100355,2
ORx_100356,2
ORx_100357,2
ORx_100358,2
ORx_100359,2
ORx_10036,7
ORx_100360,2
ORx_100361,2
ORx_100362,2
ORx_100363,2
ORx_100364,2
ORx_100365,2
ORx_100366,2
ORx_100367,2
ORx_100368,2
ORx_100369,2
ORx_10037,7
ORx_100370,2
ORx_100371,2
ORx_100372,2
ORx_100373,2
ORx_100374,2
ORx_100375,2
ORx_100376,2
ORx_100377,2
ORx_100378,2
ORx_100379,2
ORx_10038,7
ORx_100380,2
ORx_100381,2
ORx_100382,2
ORx_100383,2
ORx_100384,2
ORx_100385,2
ORx_100386,2
ORx_100387,2
ORx_100388,2
ORx_100389,2
ORx_10039,7
ORx_100390,2
ORx_100391,2
ORx_100392,2
ORx_100393,2
ORx_100394,2
ORx_100395,2
ORx_100396,2
ORx_100397,2
ORx_100398,2
ORx_100399,2
ORx_1004,8
ORx_10040,7
ORx_100400,2
ORx_100401,2
ORx_100402,2
ORx_100403,2
ORx_100404,2
ORx_100405,2
ORx_100406,2
ORx_100407,2
ORx_100408,2
ORx_100409,2
ORx_10041,7
ORx_100410,2
ORx_100411,2
ORx_100412,2
ORx_100413,2
ORx_100414,2
ORx_100415,2
ORx_100416,2
ORx_100417,2
ORx_100418,2
ORx_100419,2
ORx_10042,7
ORx_100420,2
ORx_100421,2
ORx_100422,2
ORx_100423,2
ORx_100424,2
ORx_100425,2
ORx_100426,2
ORx_100427,2
ORx_100428,2
ORx_100429,2
ORx_10043,7
ORx_100430,2
ORx_100431,2
ORx_100432,2
ORx_100433,2
ORx_100434,2
ORx_100435,2
ORx_100436,2
ORx_100437,2
ORx_100438,2
ORx_100439,2
ORx_10044,7
ORx_100440,2
ORx_100441,2
ORx_100442,2
ORx_100443,2
ORx_100444,2
ORx_100445,2
ORx_100446,2
ORx_100447,2
ORx_100448,2
ORx_100449,2
ORx_10045,7
ORx_100450,2
ORx_100451,2
ORx_100452,2
ORx_100453,2
ORx_100454,2
ORx_100455,2
ORx_100456,2
ORx_100457,2
ORx_100458,2
ORx_100459,2
ORx_10046,7
ORx_100460,2
ORx_100461,2
ORx_100462,2
ORx_100463,2
ORx_100464,2
ORx_100465,2
ORx_100466,2
ORx_100467,2
ORx_100468,2
ORx_100469,2
ORx_10047,7
ORx_100470,2
ORx_100471,2
ORx_100472,2
ORx_100473,2
ORx_100474,2
ORx_100475,2
ORx_100476,2
ORx_100477,2
ORx_100478,2
ORx_100479,2
ORx_10048,7
ORx_100480,2
ORx_100481,2
ORx_100482,2
ORx_100483,2
ORx_100484,2
ORx_100485,2
ORx_100486,2
ORx_100487,2
ORx_100488,2
ORx_100489,2
ORx_10049,7
ORx_100490,2
ORx_100491,2
ORx_100492,2
ORx_100493,2
ORx_100494,2
ORx_100495,2
ORx_100496,2
ORx_100497,2
ORx_100498,2
ORx_100499,2
ORx_1005,8
ORx_10050,7
ORx_100500,2
ORx_100501,2
ORx_100502,2
ORx_100503,2
ORx_100504,2
ORx_100505,2
ORx_100506,2
ORx_100507,2
ORx_100508,2
ORx_100509,2
ORx_10051,7
ORx_100510,2
ORx_100511,2
ORx_100512,2
ORx_100513,2
ORx_100514,2
ORx_100515,2
ORx_100516,2
ORx_100517,2
ORx_100518,2
ORx_100519,2
ORx_10052,7
ORx_100520,2
ORx_100521,2
ORx_100522,2
ORx_100523,2
ORx_100524,2
ORx_100525,2
ORx_100526,2
ORx_100527,2
ORx_100528,2
ORx_100529,2
ORx_10053,7
ORx_100530,2
ORx_100531,2
ORx_100532,2
ORx_100533,2
ORx_100534,2
ORx_100535,2
ORx_100536,2
ORx_100537,2
ORx_100538,2
ORx_100539,2
ORx_10054,7
ORx_100540,2
ORx_100541,2
ORx_100542,2
ORx_100543,2
ORx_100544,2
ORx_100545,2
ORx_100546,2
ORx_100547,2
ORx_100548,2
ORx_100549,2
ORx_10055,7
ORx_100550,2
ORx_100551,2
ORx_100552,2
ORx_100553,2
ORx_100554,2
ORx_100555,2
ORx_100556,2
ORx_100557,2
ORx_100558,2
ORx_100559,2
ORx_10056,7
ORx_100560,2
ORx_100561,2
ORx_100562,2
ORx_100563,2
ORx_100564,2
ORx_100565,2
ORx_100566,2
ORx_100567,2
ORx_100568,2
ORx_100569,2
ORx_10057,7
ORx_100570,2
ORx_100571,2
ORx_100572,2
ORx_100573,2
ORx_100574,2
ORx_100575,2
ORx_100576,2
ORx_100577,2
ORx_100578,2
ORx_100579,2
ORx_10058,7
ORx_100580,2
ORx_100581,2
ORx_100582,2
ORx_100583,2
ORx_100584,2
ORx_100585,2
ORx_100586,2
ORx_100587,2
ORx_100588,2
ORx_100589,2
ORx_10059,7
ORx_100590,2
ORx_100591,2
ORx_100592,2
ORx_100593,2
ORx_100594,2
ORx_100595,2
ORx_100596,2
ORx_100597,2
ORx_100598,2
ORx_100599,2
ORx_1006,8
ORx_10060,7
ORx_100600,2
ORx_100601,2
ORx_100602,2
ORx_100603,2
ORx_100604,2
ORx_100605,2
ORx_100606,2
ORx_100607,2
ORx_100608,2
ORx_100609,2
ORx_10061,7
ORx_100610,2
ORx_100611,2
ORx_100612,2
ORx_100613,2
ORx_100614,2
ORx_100615,2
ORx_100616,2
ORx_100617,2
ORx_100618,2
ORx_100619,2
ORx_10062,7
ORx_100620,2
ORx_100621,2
ORx_100622,2
ORx_100623,2
ORx_100624,2
ORx_100625,2
ORx_100626,2
ORx_100627,2
ORx_100628,2
ORx_100629,2
ORx_10063,7
ORx_100630,2
ORx_100631,2
ORx_100632,2
ORx_100633,2
ORx_100634,2
ORx_100635,2
ORx_100636,2
ORx_100637,2
ORx_100638,2
ORx_100639,2
ORx_10064,7
ORx_100640,2
ORx_100641,2
ORx_100642,2
ORx_100643,2
ORx_100644,2
ORx_100645,2
ORx_100646,2
ORx_100647,2
ORx_100648,2
ORx_100649,2
ORx_10065,7
ORx_100650,2
ORx_100651,2
ORx_100652,2
ORx_100653,2
ORx_100654,2
ORx_100655,2
ORx_100656,2
ORx_100657,2
ORx_100658,2
ORx_100659,2
ORx_10066,7
ORx_100660,2
ORx_100661,2
ORx_100662,2
ORx_100663,2
ORx_100664,2
ORx_100665,2
ORx_100666,2
ORx_100667,2
ORx_100668,2
ORx_100669,2
ORx_10067,7
ORx_100670,2
ORx_100671,2
ORx_100672,2
ORx_100673,2
ORx_100674,2
ORx_100675,2
ORx_100676,2
ORx_100677,2
ORx_100678,2
ORx_100679,2
ORx_10068,7
ORx_100680,2
ORx_100681,2
ORx_100682,2
ORx_100683,2
ORx_100684,2
ORx_100685,2
ORx_100686,2
ORx_100687,2
ORx_100688,2
ORx_100689,2
ORx_10069,7
ORx_100690,2
ORx_100691,2
ORx_100692,2
ORx_100693,2
ORx_100694,2
ORx_100695,2
ORx_100696,2
ORx_100697,2
ORx_100698,2
ORx_100699,2
ORx_1007,8
ORx_10070,7
ORx_100700,2
ORx_100701,2
ORx_100702,2
ORx_100703,2
ORx_100704,2
ORx_100705,2
ORx_100706,2
ORx_100707,2
ORx_100708,2
ORx_100709,2
ORx_10071,7
ORx_100710,2
ORx_100711,2
ORx_100712,2
ORx_100713,2
ORx_100714,2
ORx_100715,2
ORx_100716,2
ORx_100717,2
ORx_100718,2
ORx_100719,2
ORx_10072,7
ORx_100720,2
ORx_100721,2
ORx_100722,2
ORx_100723,2
ORx_100724,2
ORx_100725,2
ORx_100726,2
ORx_100727,2
ORx_100728,2
ORx_100729,2
ORx_10073,7
ORx_100730,2
ORx_100731,2
ORx_100732,2
ORx_100733,2
ORx_100734,2
ORx_100735,2
ORx_100736,2
ORx_100737,2
ORx_100738,2
ORx_100739,2
ORx_10074,7
ORx_100740,2
ORx_100741,2
ORx_100742,2
ORx_100743,2
ORx_100744,2
ORx_100745,2
ORx_100746,2
ORx_100747,2
ORx_100748,2
ORx_100749,2
ORx_10075,7
ORx_100750,2
ORx_100751,2
ORx_100752,2
ORx_100753,2
ORx_100754,2
ORx_100755,2
ORx_100756,2
ORx_100757,2
ORx_100758,2
ORx_100759,2
ORx_10076,7
ORx_100760,2
ORx_100761,2
ORx_100762,2
